,AAL.L,ABF.L,ADM.L,ALW.L,ANTO.L,AV.L,AZN.L,BA.L,BAB.L,BARC.L,BATS.L,BBOX.L,BEZ.L,BGEO.L,BKG.L,BLND.L,BNZL.L,BP.L,BRBY.L,BTRW.L,CCH.L,CNA.L,CPG.L,CRDA.L,DCC.L,DGE.L,DPLM.L,ENT.L,EXPN.L,FCIT.L,FRES.L,GAW.L,GLEN.L,GSK.L,HLMA.L,HSBA.L,HSX.L,HWDN.L,IAG.L,ICG.L,IGG.L,IHG.L,III.L,IMB.L,IMI.L,INF.L,ITRK.L,JD.L,KGF.L,LAND.L,LGEN.L,LLOY.L,LMP.L,LSEG.L,MKS.L,MNDI.L,MRO.L,NG.L,NWG.L,NXT.L,PCT.L,PRU.L,PSN.L,PSON.L,REL.L,RIO.L,RKT.L,RMV.L,RR.L,RTO.L,SBRY.L,SDLF.L,SDR.L,SGE.L,SGRO.L,SHEL.L,SMIN.L,SMT.L,SN.L,SPX.L,SSE.L,STAN.L,STJ.L,SVT.L,TSCO.L,ULVR.L,UU.L,VOD.L,WEIR.L,WTB.L
2018-07-25,1653.3106689453125,2441.684814453125,1892.05712890625,761.7684326171875,977.7933349609375,479.97283935546875,5552.06640625,654.2830810546875,714.317626953125,187.5511932373047,3950.26513671875,150.48690795898438,539.1480712890625,1763.8853759765625,3864.475341796875,647.2545776367188,2249.24658203125,563.5089721679688,2152.496826171875,526.864990234375,2716.92724609375,150.0329132080078,14.565211296081543,5029.03662109375,7088.69189453125,2841.486572265625,1332.3673095703125,1087.206787109375,1905.014892578125,177.25689697265625,1022.8789672851562,3156.400146484375,322.8591613769531,1547.4013671875,1372.1812744140625,720.6943969726562,1458.5703125,512.6073608398438,664.0681762695312,1076.812255859375,860.0745849609375,59.03951644897461,944.4305419921875,2818.32373046875,1124.9903564453125,815.1325073242188,5977.59033203125,91.82815551757812,310.30450439453125,924.4122314453125,262.4158020019531,62.23745346069336,183.12538146972656,4551.55615234375,291.83758544921875,2271.70654296875,493.361572265625,816.4895629882812,263.7720947265625,5932.02880859375,131.0,1449.9833984375,2463.1953125,908.955322265625,1675.0555419921875,4143.11181640625,6579.14990234375,511.6645202636719,339.47589111328125,337.6195983886719,324.9227294921875,671.6820678710938,545.7963256835938,638.7113647460938,662.1546020507812,2647.887451171875,1586.174072265625,548.8065795898438,1318.5189208984375,6801.2998046875,1332.849853515625,682.4898071289062,1185.6640625,1878.147705078125,324.5046691894531,4571.62890625,705.4457397460938,174.23733520507812,1889.6090087890625,3369.820068359375
2018-07-26,1641.0565185546875,2469.635498046875,1907.480224609375,769.7554321289062,975.7977294921875,481.44390869140625,5784.60791015625,652.0888671875,717.9141845703125,188.7283935546875,4153.09716796875,150.98521423339844,551.1290283203125,1817.904541015625,3853.093994140625,642.8704833984375,2264.222412109375,562.0158081054688,2134.526123046875,526.466796875,2709.947998046875,150.7810821533203,14.23287582397461,5187.50439453125,7018.8525390625,2814.544189453125,1326.374755859375,1100.1854248046875,1909.0106201171875,178.7548828125,1000.9244384765625,3131.467529296875,322.1118469238281,1541.18115234375,1390.1705322265625,722.1881713867188,1452.580322265625,483.7632751464844,679.8364868164062,1072.82421875,878.4905395507812,58.8878059387207,937.4464721679688,2837.208740234375,1136.9688720703125,800.7477416992188,6003.54541015625,93.24768829345703,310.80303955078125,919.2323608398438,260.7259826660156,62.3570671081543,184.8191680908203,4516.59130859375,293.8293762207031,2267.3232421875,497.78131103515625,823.066162109375,265.2725830078125,5880.1328125,132.1999969482422,1464.4542236328125,2453.242919921875,921.9290771484375,1709.994140625,4134.666015625,6554.22607421875,508.667724609375,341.3282775878906,341.4153137207031,321.9344787597656,670.191650390625,523.2666015625,644.302001953125,663.351806640625,2567.1650390625,1603.1387939453125,550.8057861328125,1358.4437255859375,6836.25537109375,1255.3028564453125,692.6673583984375,1184.6669921875,1894.5965576171875,324.5046691894531,4563.63232421875,710.6284790039062,176.22744750976562,1909.5838623046875,3338.935791015625
2018-07-27,1644.947021484375,2469.635498046875,1887.57958984375,771.75244140625,980.986083984375,480.1689147949219,5722.728515625,651.889404296875,727.1052856445312,190.44430541992188,4091.453125,152.3804473876953,553.6250610351562,1809.3330078125,3858.267578125,647.4537963867188,2276.2021484375,564.8035278320312,2109.5673828125,535.2279052734375,2708.95068359375,152.07789611816406,14.321496963500977,5234.53271484375,7088.69189453125,2830.01171875,1328.372802734375,1093.1968994140625,1896.5238037109375,179.0045623779297,1008.4088134765625,3141.4404296875,324.8521423339844,1558.4373779296875,1406.1612548828125,724.7776489257812,1470.55029296875,479.77105712890625,689.8164672851562,1066.841796875,891.9291381835938,59.49464416503906,942.8340454101562,2822.299560546875,1145.952880859375,799.1494140625,5977.59033203125,93.18769836425781,307.6123046875,919.4315795898438,261.22308349609375,62.396942138671875,185.21762084960938,4487.62060546875,294.49322509765625,2279.3779296875,500.8051452636719,822.966552734375,267.52337646484375,5856.18115234375,131.39999389648438,1467.76171875,2451.25244140625,955.4609985351562,1687.5335693359375,4135.6591796875,7072.45703125,492.8841857910156,340.9852294921875,343.61285400390625,325.02227783203125,681.1215209960938,520.5560913085938,644.9008178710938,664.1497802734375,2590.08642578125,1602.1407470703125,548.8065795898438,1373.9146728515625,6886.19189453125,1258.789794921875,701.1486206054688,1185.1651611328125,1913.537353515625,324.63067626953125,4600.95654296875,715.2131958007812,179.11312866210938,1937.5484619140625,3367.24609375
2018-07-30,1631.9151611328125,2445.67822265625,1894.0469970703125,766.7604370117188,981.9838256835938,485.9553527832031,5737.69921875,652.6873779296875,723.109130859375,192.4993896484375,4128.7373046875,151.5831298828125,554.6234741210938,1806.54248046875,3808.603271484375,650.642333984375,2257.23388671875,563.0112915039062,2085.6064453125,527.0640258789062,2701.9716796875,152.32730102539062,14.436708450317383,5240.66796875,7123.61279296875,2788.5986328125,1328.372802734375,1152.099609375,1883.5374755859375,178.7548828125,994.7372436523438,3141.4404296875,323.8058776855469,1570.074462890625,1406.1612548828125,722.785888671875,1577.3724365234375,480.7690734863281,692.0121459960938,1057.868408203125,897.9019775390625,59.709564208984375,940.8386840820312,2849.135986328125,1164.9189453125,797.9507446289062,5913.70068359375,92.9677734375,308.310302734375,928.0978393554688,263.60858154296875,62.187618255615234,186.4132843017578,4401.7021484375,294.7778015136719,2283.760986328125,497.31591796875,807.6211547851562,271.7033996582031,5848.19677734375,128.8000030517578,1481.4056396484375,2445.281494140625,928.1162719726562,1668.56689453125,4123.23779296875,7134.7685546875,486.79052734375,339.68170166015625,342.2144775390625,325.02227783203125,682.1151733398438,527.3322143554688,611.7574462890625,664.5487670898438,2589.089599609375,1599.645751953125,534.8113403320312,1355.449462890625,6901.1728515625,1246.3363037109375,695.2615356445312,1213.0870361328125,1907.5557861328125,322.4883117675781,4615.8837890625,710.229736328125,185.5811004638672,1975.0009765625,3351.80419921875
2018-07-31,1685.2098388671875,2450.669189453125,1971.1619873046875,766.7604370117188,1000.7415161132812,490.3686218261719,5853.4716796875,651.4905395507812,713.9179077148438,193.49697875976562,4176.9609375,151.78248596191406,560.11474609375,1819.10009765625,3862.40576171875,657.8162841796875,2261.226806640625,570.7769775390625,2103.5771484375,531.6439208984375,2725.90087890625,148.38694763183594,14.529763221740723,5254.98046875,7033.8193359375,2796.083251953125,1314.3896484375,1168.0736083984375,1872.04931640625,178.25555419921875,1036.85009765625,2986.86279296875,333.3221740722656,1586.7286376953125,1406.1612548828125,727.4664306640625,1595.3426513671875,476.177978515625,708.578857421875,1058.86572265625,916.3178100585938,59.50728225708008,945.4281616210938,2904.30029296875,1239.78515625,788.5608520507812,5869.77734375,93.54756927490234,295.8462829589844,939.1552124023438,261.1235656738281,62.17765426635742,187.50926208496094,4392.712890625,292.12213134765625,2298.00732421875,502.2007141113281,810.4112548828125,273.7398681640625,5924.04541015625,127.0,1492.569091796875,2470.162109375,922.7274169921875,1659.5823974609375,4169.94140625,7058.95654296875,486.5907897949219,339.95611572265625,338.9181213378906,325.7196350097656,684.5991821289062,527.3322143554688,620.94189453125,663.351806640625,2606.03125,1610.6229248046875,534.3115844726562,1318.019775390625,6936.1279296875,1245.33984375,686.4810180664062,1202.11767578125,1928.49072265625,328.03326416015625,4644.14501953125,716.8079223632812,185.08355712890625,1946.03759765625,3358.6669921875
2018-08-01,1661.0909423828125,2413.734130859375,1957.231689453125,765.7620239257812,978.1924438476562,486.053466796875,5794.58740234375,632.3406372070312,702.3289794921875,191.24237060546875,4157.5732421875,151.4835205078125,565.10693359375,1795.1805419921875,3844.81689453125,653.6314697265625,2251.244140625,560.7213134765625,2081.61279296875,527.8606567382812,2718.92138671875,143.39913940429688,14.423415184020996,5289.74169921875,6899.12939453125,2799.076904296875,1313.3907470703125,1148.1064453125,1839.5828857421875,178.7548828125,1022.3798217773438,2951.957275390625,320.7167663574219,1577.498779296875,1399.1650390625,711.13427734375,1622.2974853515625,469.09161376953125,695.6049194335938,1068.8358154296875,950.1632690429688,59.292362213134766,935.2515869140625,2871.996826171875,1225.8101806640625,778.7711181640625,5849.81298828125,95.78679656982422,293.9517517089844,935.3696899414062,258.936767578125,63.204307556152344,186.61253356933594,4352.75146484375,282.8272705078125,2315.540283203125,499.1768798828125,787.6922607421875,272.45367431640625,5500.89794921875,127.4000015258789,1476.03076171875,2452.248046875,900.7719116210938,1654.0921630859375,4028.3427734375,7028.8388671875,478.49920654296875,338.8584289550781,326.232421875,325.9188537597656,681.6182861328125,532.2445068359375,624.336181640625,657.3665161132812,2560.687744140625,1588.1700439453125,533.8118896484375,1318.5189208984375,6946.1142578125,1236.871826171875,681.0928344726562,1162.229736328125,1894.0980224609375,324.8827209472656,4644.14501953125,702.6549682617188,183.45166015625,1904.0906982421875,3338.935791015625
2018-08-02,1609.935791015625,2422.71875,1937.3310546875,762.7669067382812,948.6589965820312,478.4036865234375,5798.580078125,631.941650390625,698.53271484375,186.0946807861328,4126.251953125,151.38381958007812,556.6585693359375,1760.496826171875,3773.425048828125,647.4537963867188,2250.24560546875,553.7521362304688,2079.61572265625,521.0906982421875,2731.88232421875,141.4539337158203,14.472159385681152,5265.20458984375,6854.232421875,2793.58837890625,1314.3896484375,1133.131103515625,1845.0772705078125,180.5024871826172,990.9451293945312,3021.767822265625,311.8481140136719,1538.9744873046875,1396.1668701171875,701.1758422851562,1639.26953125,465.09942626953125,683.6288452148438,1041.91552734375,931.2496948242188,58.40739822387695,918.0910034179688,2890.8818359375,1174.9012451171875,776.7732543945312,5791.91357421875,92.84780883789062,290.0628662109375,927.3011474609375,254.2650146484375,62.506587982177734,184.8191680908203,4492.615234375,277.2315368652344,2270.61083984375,491.7334289550781,796.0624389648438,268.0592956542969,5522.8544921875,128.1999969482422,1430.9639892578125,2401.490966796875,892.9877319335938,1652.219482421875,3883.266845703125,7062.07177734375,483.1943054199219,362.9400329589844,319.639892578125,325.02227783203125,671.6820678710938,520.7257080078125,645.6995849609375,650.9824829101562,2522.81689453125,1572.7025146484375,531.3126220703125,1335.986083984375,6886.19189453125,1236.3736572265625,672.3124389648438,1138.7958984375,1878.147705078125,324.63067626953125,4612.537109375,701.4591674804688,180.40673828125,1855.652099609375,3331.214599609375
2018-08-03,1646.3084716796875,2438.6904296875,1956.236328125,766.7604370117188,957.4392700195312,484.87652587890625,5834.5087890625,623.3641967773438,701.929443359375,188.2495574951172,4165.525390625,152.1811065673828,561.651123046875,1749.135009765625,3803.43017578125,653.6314697265625,2275.2041015625,558.0332641601562,2122.546142578125,526.466796875,2730.885986328125,143.19964599609375,14.507609367370605,5318.36767578125,6864.20849609375,2817.038818359375,1314.3896484375,1130.1358642578125,1863.5582275390625,181.7507781982422,1012.4005737304688,3031.73974609375,316.9799499511719,1558.2362060546875,1409.1591796875,712.827392578125,1657.2393798828125,464.1012878417969,668.4592895507812,1043.909912109375,914.82470703125,59.570491790771484,930.8616333007812,2911.2568359375,1163.9207763671875,785.3642578125,5829.84765625,92.9677734375,293.3533935546875,939.9518432617188,257.545166015625,62.34709548950195,185.81546020507812,4484.62255859375,280.2665710449219,2450.330322265625,497.5485534667969,805.9273681640625,276.3121643066406,5650.59619140625,129.0,1444.608154296875,2425.376708984375,906.1610107421875,1673.683349609375,3966.735107421875,7129.576171875,485.69171142578125,375.2896423339844,327.0315856933594,327.7117614746094,677.1470947265625,528.6873779296875,658.8771362304688,668.33935546875,2535.7724609375,1590.664794921875,544.8080444335938,1353.952392578125,6856.23095703125,1252.812255859375,687.7780151367188,1159.73681640625,1923.0079345703125,327.02508544921875,4659.99462890625,719.997314453125,183.88949584960938,1903.092041015625,3356.09326171875
2018-08-06,1631.9151611328125,2461.64990234375,1964.197265625,771.75244140625,940.4773559570312,484.18994140625,5809.5576171875,625.9573364257812,707.3241577148438,188.10984802246094,4148.62353515625,152.57980346679688,560.6526489257812,1789.001220703125,3828.261962890625,643.26904296875,2288.181640625,564.3056640625,2124.542724609375,532.4402465820312,2745.84130859375,144.29696655273438,14.525330543518066,5346.994140625,6879.17529296875,2821.030029296875,1314.3896484375,1129.1378173828125,1865.056640625,181.5011749267578,978.5706176757812,3071.630859375,312.8944091796875,1583.5181884765625,1408.1600341796875,705.6572875976562,1649.252685546875,462.9035949707031,671.0541381835938,1045.9036865234375,890.4358520507812,60.038246154785156,936.8477783203125,2903.306396484375,1151.9423828125,789.1602172851562,5859.794921875,93.46759796142578,290.56146240234375,934.0748291015625,259.1355895996094,62.36703109741211,185.61627197265625,4463.64208984375,282.25830078125,2411.975341796875,499.4093933105469,804.0341796875,270.0957946777344,5684.5283203125,128.0,1446.26220703125,2449.262451171875,909.753662109375,1681.6697998046875,3898.171875,7141.00048828125,486.2911071777344,371.0014953613281,327.0315856933594,330.3015441894531,679.13427734375,527.5015258789062,665.8651733398438,667.3417358398438,2552.216064453125,1595.6544189453125,545.8076171875,1358.9427490234375,6846.2431640625,1247.3326416015625,688.9754638671875,1150.263671875,1927.4937744140625,326.899169921875,4685.0546875,719.5985107421875,185.2029571533203,1917.573486328125,3355.23583984375
2018-08-07,1688.51611328125,2456.657958984375,1944.7935791015625,777.7427978515625,956.2418823242188,485.75909423828125,5923.33447265625,626.9548950195312,717.3146362304688,188.907958984375,4146.634765625,153.9750213623047,563.6480102539062,1793.9844970703125,3865.51025390625,647.4537963867188,2288.181640625,573.7638549804688,2171.46630859375,539.0111694335938,2739.85888671875,147.53903198242188,14.574073791503906,5236.5791015625,6864.20849609375,2810.55224609375,1318.384765625,1133.131103515625,1865.555908203125,181.7507781982422,992.1426391601562,3111.521484375,325.15106201171875,1609.000244140625,1404.162109375,713.1260986328125,1651.2493896484375,467.7942199707031,677.840576171875,1056.87109375,888.9427490234375,58.2430534362793,937.0474243164062,2917.220458984375,1166.9154052734375,793.555419921875,5286.79345703125,93.8074722290039,294.7493896484375,935.96728515625,261.3223571777344,62.14775466918945,185.4169464111328,4534.57421875,283.4913330078125,2433.89306640625,504.9920654296875,806.7244262695312,270.6316223144531,5610.6767578125,129.0,1453.2906494140625,2471.1572265625,915.941162109375,1677.677001953125,3936.925048828125,7181.50341796875,486.0912780761719,371.68768310546875,326.6319885253906,333.5886535644531,683.108642578125,533.5997924804688,662.870361328125,668.1398315429688,2584.106689453125,1610.1241455078125,551.3056640625,1360.440185546875,6741.376953125,1255.3028564453125,685.7825317382812,1148.7679443359375,1957.40087890625,327.6552429199219,4692.5224609375,731.7579345703125,185.5811004638672,1931.555908203125,3350.08837890625
2018-08-08,1679.1800537109375,2470.6337890625,1983.6002197265625,781.7362060546875,960.0332641601562,493.11468505859375,5977.228515625,626.3563232421875,725.30712890625,192.65896606445312,4187.8974609375,154.47329711914062,568.640625,1819.6981201171875,3867.57958984375,644.8630981445312,2320.12890625,574.1619873046875,2203.414306640625,544.58642578125,2741.852783203125,150.4319305419922,14.751320838928223,5304.0546875,6944.02587890625,2826.019287109375,1317.3857421875,1136.126220703125,1887.0335693359375,184.99635314941406,995.5357055664062,3111.521484375,325.4001159667969,1618.0296630859375,1404.162109375,722.3875732421875,1662.2310791015625,465.99761962890625,684.8265380859375,1054.877197265625,883.9655151367188,58.74873733520508,948.6207885742188,2956.979248046875,1170.908447265625,798.7499389648438,5410.578125,95.18698120117188,298.5384521484375,939.0555419921875,262.9127502441406,61.978302001953125,185.7158203125,4505.6015625,287.0953674316406,2443.755859375,510.5746765136719,808.7172241210938,270.8459777832031,5666.564453125,132.1999969482422,1506.62646484375,2489.071533203125,918.93505859375,1694.648193359375,3926.988525390625,7168.00341796875,489.4877014160156,373.5743713378906,334.2233581542969,335.281982421875,685.5925903320312,535.8018798828125,666.2645874023438,670.7335205078125,2598.058837890625,1628.585205078125,558.8030395507812,1357.4456787109375,6811.287109375,1271.2432861328125,695.1617431640625,1161.23291015625,1976.341552734375,330.3017272949219,4731.98046875,741.9241943359375,185.8000030517578,1935.051513671875,3423.867431640625
2018-08-10,1621.8006591796875,2400.75732421875,1977.13232421875,780.7377319335938,959.03564453125,488.21099853515625,6095.69287109375,623.9627075195312,727.5050048828125,187.21630859375,4130.7255859375,151.68284606933594,566.144287109375,1704.484619140625,3828.261962890625,640.8777465820312,2317.13330078125,553.6292724609375,2215.394775390625,538.81201171875,2636.1669921875,147.93807983398438,14.773476600646973,5318.36767578125,6993.91064453125,2790.992919921875,1314.3896484375,1123.1474609375,1899.021240234375,183.24876403808594,987.2357788085938,3266.1015625,320.01922607421875,1569.70263671875,1407.1600341796875,718.304443359375,1666.327880859375,468.39300537109375,677.6409301757812,1036.930419921875,876.4995727539062,59.9371223449707,944.2310180664062,2927.160400390625,1152.0858154296875,797.2219848632812,5324.72705078125,97.18630981445312,293.2537536621094,931.3851928710938,263.01214599609375,61.659339904785156,183.8227996826172,4476.6298828125,287.00054931640625,2380.196044921875,504.2942199707031,815.7921142578125,265.7012939453125,5656.5849609375,133.60000610351562,1486.3673095703125,2462.2001953125,918.13671875,1687.6597900390625,3779.857421875,7081.8037109375,489.18804931640625,358.1373596191406,332.9378967285156,332.4929504394531,687.0830078125,525.1298217773438,670.8567504882812,672.3294067382812,2522.671875,1622.0989990234375,556.8037719726562,1353.952392578125,7255.71826171875,1265.763671875,678.4436645507812,1152.7567138671875,1969.36328125,335.46856689453125,4664.26025390625,735.7447509765625,181.62069702148438,1903.092041015625,3441.88330078125
2018-08-13,1634.248779296875,2391.77294921875,2008.9732666015625,773.7491455078125,950.654541015625,489.68206787109375,6040.7939453125,625.1595458984375,722.7096557617188,184.08338928222656,4125.2578125,150.48690795898438,570.1383056640625,1587.6761474609375,3821.01953125,631.7109375,2313.140625,555.9196166992188,2246.3447265625,536.8208618164062,2644.143798828125,148.03778076171875,14.738024711608887,5326.54736328125,6988.921875,2790.493408203125,1315.3883056640625,1103.1806640625,1900.02001953125,182.499755859375,985.439453125,3291.033203125,317.7771911621094,1556.0560302734375,1406.1612548828125,713.1260986328125,1678.30859375,463.80194091796875,675.4452514648438,1035.933349609375,875.5042114257812,59.734832763671875,943.8319091796875,2948.033203125,1139.107177734375,793.2257690429688,5356.67236328125,96.32660675048828,289.16552734375,923.9141235351562,263.60858154296875,61.18090057373047,181.8301544189453,4485.62109375,282.922119140625,2348.41650390625,504.2942199707031,813.5003051757812,263.450439453125,5556.78564453125,133.39999389648438,1475.2041015625,2452.248046875,914.7435913085938,1690.655029296875,3800.23291015625,7048.56982421875,492.9840087890625,355.73614501953125,335.2354431152344,330.8992004394531,684.102294921875,526.8239135742188,663.070068359375,664.5487670898438,2515.197509765625,1612.6185302734375,556.303955078125,1359.4420166015625,7180.8154296875,1263.2730712890625,670.9597778320312,1153.2554931640625,1963.880615234375,331.1837463378906,4659.99462890625,737.1399536132812,180.12811279296875,1882.1185302734375,3405.8515625
2018-08-14,1599.04345703125,2360.82763671875,1988.07763671875,772.7507934570312,884.4041748046875,484.48419189453125,6003.86181640625,625.9573364257812,713.9179077148438,183.54461669921875,4148.12646484375,149.98861694335938,579.124755859375,1613.78857421875,3785.84033203125,627.7252197265625,2313.140625,552.9320678710938,2270.3056640625,537.0198974609375,2636.1669921875,146.84072875976562,14.667126655578613,5326.54736328125,6993.91064453125,2797.978759765625,1311.3931884765625,1113.1640625,1898.0220947265625,181.25148010253906,970.8683471679688,3301.00537109375,315.2860107421875,1565.287109375,1404.162109375,712.6281127929688,1677.31005859375,469.3910827636719,680.8345947265625,1023.96875,868.5359497070312,59.94974899291992,929.8639526367188,2951.51171875,1123.1336669921875,795.223876953125,5300.7685546875,95.96674346923828,289.7637939453125,916.4431762695312,259.9308166503906,60.78219223022461,180.93348693847656,4433.6708984375,282.3531494140625,2323.211669921875,508.7137145996094,815.4931030273438,259.592041015625,5530.83740234375,133.1999969482422,1448.329345703125,2431.34814453125,924.723388671875,1688.1593017578125,3752.027587890625,7105.69091796875,488.8882751464844,354.5354919433594,335.2354431152344,332.891357421875,680.6246337890625,524.4524536132812,669.2593383789062,655.3716430664062,2490.27978515625,1594.656494140625,552.4052734375,1361.4383544921875,7260.71337890625,1264.7674560546875,661.579833984375,1130.818115234375,1988.304443359375,327.6552429199219,4675.9912109375,748.9009399414062,177.89913940429688,1843.6671142578125,3408.42529296875
2018-08-15,1499.8443603515625,2310.916259765625,2051.76025390625,768.7571411132812,834.3171997070312,477.128662109375,5930.998046875,623.3641967773438,709.9217529296875,179.39401245117188,4064.606689453125,148.79273986816406,581.6209106445312,1664.4188232421875,3772.39013671875,625.3340454101562,2297.167236328125,542.6763305664062,2214.396484375,525.869384765625,2609.246826171875,144.99525451660156,14.534193992614746,5207.95263671875,6889.15087890625,2759.055419921875,1321.3809814453125,1094.1951904296875,1878.5423583984375,177.75628662109375,895.2189331054688,3296.018798828125,297.448974609375,1595.79052734375,1391.169921875,702.5698852539062,1662.3341064453125,469.7903137207031,676.6429443359375,1008.015869140625,874.5087280273438,59.30500793457031,914.8982543945312,2935.11181640625,1121.136962890625,784.2345581054688,5248.859375,95.26698303222656,287.5701599121094,911.9605712890625,256.2529602050781,60.27385330200195,180.23599243164062,4386.71728515625,279.88714599609375,2272.802490234375,496.1529846191406,818.2831420898438,256.80523681640625,5452.994140625,131.1999969482422,1408.637939453125,2410.448486328125,915.142822265625,1682.1693115234375,3627.291748046875,7046.49462890625,490.6864929199219,344.7587890625,331.53948974609375,328.3094177246094,676.1535034179688,516.4906616210938,664.8670654296875,648.9874267578125,2442.437255859375,1576.195068359375,537.4105834960938,1355.449462890625,7135.8720703125,1252.812255859375,645.314697265625,1113.3675537109375,1985.3138427734375,320.7239685058594,4667.4580078125,746.907470703125,174.15768432617188,1799.7227783203125,3370.677978515625
2018-08-16,1501.051513671875,2302.93017578125,2039.81982421875,772.7507934570312,841.700439453125,473.2957763671875,5925.00927734375,623.9627075195312,719.312744140625,181.7686309814453,4134.20556640625,148.99195861816406,585.1156616210938,1723.0225830078125,3845.851318359375,633.9028930664062,2321.126708984375,546.2610473632812,2255.330322265625,535.0287475585938,2623.20556640625,146.04266357421875,14.844376564025879,5285.6533203125,6884.162109375,2782.50927734375,1318.384765625,1094.1951904296875,1902.5174560546875,179.75352478027344,917.77392578125,3320.950927734375,303.776611328125,1615.45654296875,1403.162841796875,700.0567626953125,1656.3436279296875,469.29132080078125,688.4192504882812,1011.0070190429688,883.4677734375,59.78540802001953,923.877685546875,2965.427734375,1122.135498046875,773.2453002929688,5274.81396484375,95.54689025878906,273.7101135253906,919.4315795898438,253.41563415527344,59.91565704345703,182.72686767578125,4393.7119140625,285.8623962402344,2289.240478515625,511.0398254394531,821.5714721679688,257.8770446777344,5512.87451171875,131.39999389648438,1433.85888671875,2457.2236328125,914.1995849609375,1701.636474609375,3667.0478515625,7034.76171875,494.5823974609375,348.189208984375,336.6339111328125,336.8757629394531,683.6055297851562,517.0582885742188,663.2697143554688,653.831298828125,2467.853759765625,1581.1845703125,548.10693359375,1365.9296875,7145.85986328125,1259.2879638671875,649.705322265625,1124.336669921875,1992.2921142578125,322.8663635253906,4704.2529296875,745.9108276367188,176.1279296875,1789.7353515625,3401.56201171875
2018-08-17,1492.2960205078125,2333.87548828125,2026.8841552734375,770.7539672851562,825.1377563476562,475.55181884765625,5919.02001953125,622.9652099609375,716.5155029296875,182.1876983642578,4178.9482421875,148.4936981201172,587.1126708984375,1733.9857177734375,3866.54443359375,636.89208984375,2334.105712890625,546.2610473632812,2240.354736328125,534.6305541992188,2605.259033203125,145.54391479492188,15.04377555847168,5252.9365234375,6889.15087890625,2787.998779296875,1308.3968505859375,1097.1904296875,1900.02001953125,179.75352478027344,922.9638061523438,3355.85693359375,303.9260559082031,1622.4803466796875,1409.1591796875,694.0809936523438,1652.35009765625,470.9879150390625,687.2216796875,1008.015869140625,887.4496459960938,60.0509033203125,920.08642578125,2969.403076171875,1147.0938720703125,777.8408203125,5268.82421875,95.56687927246094,272.5135498046875,919.9295654296875,252.42140197753906,59.9754638671875,182.9261474609375,4403.701171875,283.5861511230469,2300.198974609375,514.2963256835938,826.4541625976562,258.1986083984375,5449.00390625,130.8000030517578,1421.4549560546875,2450.257568359375,915.5969848632812,1711.120361328125,3683.447998046875,7045.14892578125,492.4845886230469,351.10504150390625,337.6328125,333.2898864746094,682.61181640625,519.4301147460938,664.6672973632812,656.0260009765625,2464.364501953125,1588.1700439453125,542.5087280273438,1376.4100341796875,7110.9033203125,1260.2843017578125,643.4188232421875,1123.3394775390625,2007.743896484375,323.2445068359375,4708.51806640625,749.6981811523438,174.9139404296875,1832.6807861328125,3413.572509765625
2018-08-20,1511.7523193359375,2365.81884765625,2023.89892578125,774.7477416992188,826.3351440429688,477.4156188964844,5967.92919921875,625.1595458984375,720.7115478515625,183.30511474609375,4198.337890625,149.5899658203125,589.1095581054688,1694.318603515625,3824.12353515625,637.489990234375,2348.08251953125,549.5468139648438,2242.35107421875,536.6217651367188,2628.19091796875,144.44659423828125,15.14126205444336,5244.7568359375,7013.86474609375,2792.988525390625,1307.39794921875,1103.1806640625,1898.0220947265625,181.0018310546875,928.9517822265625,3370.8154296875,304.97235107421875,1624.8885498046875,1416.1549072265625,694.280029296875,1655.34521484375,473.3833312988281,700.1957397460938,1018.9834594726562,891.4314575195312,60.55657958984375,918.29052734375,2968.409423828125,1172.05224609375,778.4402465820312,5252.85205078125,98.44588470458984,269.4224853515625,922.4199829101562,252.5208740234375,60.184818267822266,183.52391052246094,4418.68798828125,282.922119140625,2337.457763671875,527.5548706054688,827.84912109375,261.4140625,5449.00390625,131.1999969482422,1431.3778076171875,2432.34326171875,923.5811767578125,1717.1102294921875,3694.878173828125,7090.8486328125,491.98516845703125,353.1632995605469,338.4319152832031,333.19024658203125,687.0830078125,527.0537719726562,618.1465454101562,658.2208251953125,2481.807373046875,1603.1387939453125,545.008056640625,1362.436279296875,7170.82666015625,1257.29541015625,646.612060546875,1144.280517578125,1997.7750244140625,322.4883117675781,4742.64697265625,741.9241943359375,175.72991943359375,1852.15625,3440.167236328125
