,ABG.JO,AGL.JO,ANG.JO,APN.JO,BTI.JO,BVT.JO,CLS.JO,CPI.JO,DSY.JO,EXX.JO,FSR.JO,GFI.JO,GLN.JO,GRT.JO,IMP.JO,INL.JO,INP.JO,MNP.JO,MRP.JO,MTN.JO,NED.JO,NPN.JO,NRP.JO,REM.JO,RMH.JO,SBK.JO,SHP.JO,SLM.JO,SOL.JO,VOD.JO,WHL.JO
2016-03-18,14895.580078125,11698.4296875,20606.255859375,31546.935546875,87879.6015625,9986.638671875,9746.9931640625,57544.95703125,12053.5302734375,7266.41943359375,4763.91748046875,5685.0693359375,3548.2177734375,2526.08837890625,4706.17919921875,6436.73974609375,5828.15283203125,31922.01953125,18290.85546875,14533.9248046875,18374.466796875,27309.640625,17920.638671875,18216.2890625,88.4907455444336,13068.130859375,17717.166015625,6628.1962890625,47377.02734375,15549.32421875,8843.5439453125
2016-03-22,14696.9736328125,11672.0986328125,21160.75,31813.5859375,85904.0703125,10024.42578125,9555.388671875,57724.609375,11992.5947265625,7553.79833984375,4768.890625,5814.728515625,3459.2373046875,2523.116943359375,4833.80419921875,6397.248046875,5808.08935546875,31766.478515625,17934.166015625,14633.47265625,18878.107421875,27176.736328125,17957.912109375,17721.0,89.36071014404297,13231.1357421875,17647.349609375,6663.0078125,47613.47265625,15567.21875,8851.515625
2016-03-23,14374.234375,10894.80078125,20117.697265625,31485.01171875,86384.8125,9964.775390625,9580.3369140625,56893.1875,12047.53515625,7313.82373046875,4572.962890625,5595.3056640625,3295.273193359375,2526.08837890625,4284.41796875,6315.97412109375,5748.95849609375,31593.404296875,17635.259765625,14130.7548828125,18625.7890625,26841.3359375,17943.578125,17645.9296875,87.08987426757812,12874.314453125,17574.546875,6492.92724609375,45360.8046875,15539.3828125,8725.974609375
2016-03-24,14101.1513671875,10749.4853515625,20179.640625,31494.005859375,87566.125,10040.083984375,9533.43359375,56704.53515625,12035.548828125,7205.19189453125,4471.57421875,5585.3310546875,3275.27734375,2421.932861328125,4536.6767578125,6274.19140625,5748.95849609375,31902.3046875,17386.177734375,12699.72265625,18833.40234375,26721.62109375,18015.25390625,17481.76953125,86.22602844238281,12463.82421875,17631.388671875,6407.3896484375,45292.95703125,15411.1259765625,8629.330078125
2016-03-29,13979.9990234375,10325.23828125,20334.5078125,31259.306640625,86835.6015625,9752.609375,9663.166015625,56118.6328125,12257.3203125,7031.3818359375,4424.8193359375,5555.41015625,3131.309326171875,2432.833251953125,4267.46826171875,6198.63916015625,5643.3671875,31813.576171875,17013.54296875,12813.2724609375,18343.671875,25839.90234375,18034.37109375,17030.677734375,85.64262390136719,12599.994140625,17754.0703125,6318.8681640625,44351.171875,15571.193359375,8636.3046875
2016-03-30,14479.4970703125,11205.912109375,20829.052734375,31929.435546875,86485.328125,10107.02734375,9680.1318359375,56822.3203125,12285.2919921875,7136.0634765625,4715.2978515625,5815.7255859375,3249.283935546875,2437.78857421875,4513.74365234375,6328.56591796875,5754.23779296875,31813.576171875,17635.259765625,13149.94140625,19122.48046875,26003.201171875,18038.189453125,17551.22265625,89.71161651611328,13200.322265625,17553.6015625,6591.3955078125,44842.01953125,15885.361328125,8971.07421875
2016-03-31,14854.8662109375,11266.3828125,20431.4140625,31976.375,85647.328125,10068.4296875,9698.09375,57195.609375,12137.4423828125,7110.38623046875,4811.7919921875,5829.6884765625,3303.272216796875,2434.815673828125,4686.23828125,6290.78955078125,5744.2060546875,30976.69921875,17678.109375,13466.685546875,19296.32421875,25890.1484375,17950.263671875,17551.22265625,91.64134979248047,13167.5234375,17316.2265625,6812.2021484375,44049.8984375,15959.931640625,8934.2109375
2016-04-01,14647.3203125,10849.9384765625,19931.87109375,31369.166015625,85184.53125,9933.462890625,9835.8134765625,57200.60546875,11911.67578125,7182.4775390625,4682.46875,5686.06689453125,3124.3115234375,2432.833251953125,4535.6796875,6215.8115234375,5649.173828125,31021.60546875,17704.005859375,13008.5,18784.73046875,25613.787109375,18185.37109375,17604.537109375,88.63448333740234,12821.63671875,17369.083984375,6621.2333984375,43408.4140625,15839.6328125,8958.1220703125
2016-04-04,14394.4990234375,11301.4931640625,19995.80859375,32193.091796875,86015.546875,9884.2548828125,10059.3515625,59208.83203125,12181.396484375,7025.45703125,4677.49560546875,5582.33837890625,3141.3076171875,2437.78857421875,4389.1103515625,6307.38818359375,5738.3994140625,30334.794921875,17961.06640625,13201.734375,18973.470703125,25877.58203125,18301.966796875,17824.81640625,90.14537811279297,12821.63671875,17653.333984375,6535.1171875,43318.3125,15996.71484375,9080.6748046875
2016-04-05,14031.90625,10728.029296875,20291.544921875,31109.501953125,86689.3203125,9695.2109375,9994.4873046875,58677.8359375,11821.771484375,6804.244140625,4551.15771484375,5726.95751953125,2989.3408203125,2430.850830078125,4277.43798828125,6221.53466796875,5668.18017578125,29848.435546875,17734.89453125,12726.615234375,18438.044921875,25814.7734375,18158.609375,17506.32421875,86.85430145263672,12467.7998046875,17254.390625,6262.48876953125,40727.09765625,15873.4345703125,8798.7080078125
2016-04-06,13113.0009765625,10614.8994140625,21180.73828125,30876.806640625,87507.3984375,9506.1669921875,10136.1953125,58889.4296875,11837.751953125,6853.623046875,4466.60107421875,5815.7255859375,2938.352294921875,2357.52001953125,4417.0283203125,6082.4521484375,5569.451171875,30013.837890625,16838.189453125,12377.0009765625,17880.759765625,26066.01171875,18101.267578125,17260.783203125,85.04419708251953,12080.1689453125,16767.677734375,6318.208984375,41008.46875,15761.0888671875,8727.966796875
2016-04-07,12914.318359375,10722.1796875,21980.005859375,31144.458984375,88210.0078125,9633.0986328125,10181.1044921875,58537.0859375,11712.8818359375,6523.779296875,4372.0966796875,5978.298828125,2860.36962890625,2399.140380859375,4436.96923828125,5927.34375,5473.890625,29904.302734375,16643.896484375,12574.220703125,17518.17578125,26241.251953125,18269.4765625,17128.189453125,84.04190826416016,11826.71875,16695.87109375,6119.2109375,41902.4765625,15734.2431640625,8558.5908203125
2016-04-08,13485.529296875,11149.34765625,21407.525390625,32057.271484375,87766.171875,9762.7294921875,10278.90234375,59169.90625,11831.759765625,6937.56494140625,4500.42236328125,6051.10693359375,2871.36669921875,2388.239501953125,4436.96923828125,6066.99609375,5543.0546875,29927.30859375,17059.373046875,12906.9013671875,17880.759765625,26390.73828125,18275.20703125,17446.6953125,85.35840606689453,12207.3916015625,16730.771484375,6321.19482421875,41841.60546875,15875.4208984375,8548.6259765625
2016-04-11,13583.8779296875,11796.93359375,22669.37890625,31857.52734375,87381.015625,9591.77734375,10129.2099609375,59259.734375,11841.7490234375,7549.77392578125,4534.24609375,6233.62939453125,2949.349853515625,2388.239501953125,4786.94189453125,6011.478515625,5490.78515625,30008.361328125,17169.966796875,12826.220703125,17483.98046875,25980.08984375,17798.3046875,17203.63671875,86.54017639160156,12180.5556640625,16838.486328125,6477.40869140625,41756.796875,15954.95703125,8438.03125
2016-04-12,13758.716796875,12836.576171875,23059.02734375,32437.7734375,86724.15625,9800.265625,10378.697265625,59288.6875,12100.4814453125,7703.85107421875,4664.56396484375,6124.91357421875,3090.31884765625,2427.87841796875,4810.8720703125,6016.63037109375,5490.78515625,29794.763671875,17828.5546875,12894.9482421875,17911.26953125,26114.251953125,18102.220703125,17698.978515625,88.29045104980469,12523.4599609375,17007.04296875,6513.22705078125,43986.82421875,16304.9150390625,8510.765625
