,AUDUSD,BRLUSD,Bitcoin,Oil,EURUSD,GBPUSD,Gold,JPYUSD,ZARUSD,ASX50,Ibovespa,FTSE100,SP500,JSE40,NIKKEI225,EUROSTOXX50,VIX,US_10Y,DE_10Y,UK_10Y,JP_10Y,AU_10Y,ZA_10Y
2015-01-05,0.8067768812179565,0.37158143520355225,274.4739990234375,50.040000915527344,1.194643259048462,1.5284910202026367,1203.9000244140625,0.008303303271532059,0.08526820689439774,5429.5,47517.0,6417.2001953125,2020.5799560546875,41990.23828125,17408.7109375,3023.139892578125,19.920000076293945,2.04,0.39,1.589,0.275,2.622,7.4647619048
2015-01-06,0.8099789619445801,0.36994561553001404,286.1889953613281,47.93000030517578,1.193901538848877,1.5258322954177856,1219.300048828125,0.008373456075787544,0.0855044350028038,5346.2001953125,48001.0,6366.5,2002.6099853515625,42747.37109375,16883.189453125,3023.139892578125,21.1200008392334,1.97,0.39,1.589,0.275,2.622,7.4647619048
2015-01-07,0.8080155253410339,0.37083736062049866,294.3370056152344,48.650001525878906,1.1875356435775757,1.5137982368469238,1210.5999755859375,0.008426517248153687,0.085324227809906,5334.5,49463.0,6419.7998046875,2025.9000244140625,43086.3515625,16885.330078125,3026.7900390625,19.309999465942383,1.96,0.39,1.589,0.275,2.622,7.4647619048
2015-01-08,0.8075587749481201,0.37302297353744507,283.3489990234375,48.790000915527344,1.1836000680923462,1.5107566118240356,1208.4000244140625,0.008383002132177353,0.08556149899959564,5359.39990234375,49943.0,6570.0,2062.139892578125,43670.7890625,17167.099609375,3135.080078125,17.010000228881836,2.03,0.39,1.589,0.275,2.622,7.4647619048
2015-01-09,0.8114249110221863,0.37598225474357605,290.4079895019531,48.36000061035156,1.1796069145202637,1.5087963342666626,1216.0,0.008347802795469761,0.08638748526573181,5440.10009765625,48840.0,6501.10009765625,2044.81005859375,42994.578125,17197.73046875,3042.89990234375,17.549999237060547,1.98,0.39,1.589,0.275,2.622,7.4647619048
2015-01-13,0.8150623440742493,0.3745037615299225,225.86099243164062,45.88999938964844,1.1831519603729248,1.5170363187789917,1234.300048828125,0.008451084606349468,0.08680404722690582,5382.10009765625,48042.0,6542.2001953125,2023.030029296875,43428.828125,17087.7109375,3133.860107421875,20.559999465942383,1.91,0.39,1.589,0.275,2.622,7.4647619048
2015-01-14,0.8173941373825073,0.3788452744483948,178.10299682617188,48.47999954223633,1.1778285503387451,1.5170363187789917,1234.4000244140625,0.00848932471126318,0.0870034247636795,5332.2001953125,47646.0,6388.5,2011.27001953125,42038.078125,16795.9609375,3089.669921875,21.479999542236328,1.86,0.39,1.589,0.275,2.622,7.4647619048
2015-01-15,0.8144648671150208,0.3828337490558624,209.843994140625,46.25,1.1785920858383179,1.5234380960464478,1264.699951171875,0.008518612943589687,0.08741586655378342,5310.60009765625,48026.0,6498.7998046875,1992.6700439453125,42533.80859375,17108.69921875,3157.360107421875,22.389999389648438,1.77,0.39,1.589,0.275,2.622,7.4647619048
2015-01-16,0.8223684430122375,0.3789744973182678,208.0970001220703,48.689998626708984,1.1637378931045532,1.5181187391281128,1276.9000244140625,0.008611039258539677,0.08664295077323914,5278.7998046875,49017.0,6550.2998046875,2019.4200439453125,42455.421875,16864.16015625,3202.239990234375,20.950000762939453,1.83,0.39,1.589,0.275,2.622,7.4647619048
2015-01-20,0.8195378184318542,0.37762925028800964,211.31500244140625,46.38999938964844,1.1597968339920044,1.5090012550354004,1294.199951171875,0.008495310321450233,0.08601787686347961,5286.7998046875,47877.0,6620.10009765625,2022.550048828125,43074.8515625,17366.30078125,3244.919921875,19.889999389648438,1.82,0.39,1.589,0.275,2.622,7.4647619048
2015-01-21,0.8165265321731567,0.38299500942230225,226.89700317382812,47.779998779296875,1.1546944379806519,1.5147384405136108,1293.699951171875,0.008428220637142658,0.08631419390439987,5367.39990234375,49224.0,6728.0,2032.1199951171875,43480.80078125,17280.48046875,3269.72998046875,18.850000381469727,1.87,0.39,1.589,0.275,2.622,7.4647619048
2015-01-22,0.8101101517677307,0.3850448429584503,233.406005859375,46.310001373291016,1.1615345478057861,1.5144860744476318,1300.699951171875,0.008484642952680588,0.08692401647567749,5390.5,49443.0,6796.60009765625,2063.14990234375,43725.19921875,17329.01953125,3322.64990234375,16.399999618530273,1.9,0.39,1.589,0.275,2.622,7.4647619048
2015-01-23,0.801988959312439,0.3889991044998169,232.87899780273438,45.59000015258789,1.1346745491027832,1.5013211965560913,1292.5999755859375,0.008420981466770172,0.0877293050289154,5468.2001953125,48775.0,6832.7998046875,2051.820068359375,43647.44140625,17511.75,3382.550048828125,16.65999984741211,1.81,0.39,1.589,0.275,2.622,7.4647619048
2015-01-27,0.7922046780586243,0.38761192560195923,263.4750061035156,46.22999954223633,1.1247708797454834,1.5085458755493164,1291.699951171875,0.008437395095825195,0.08731947094202042,5511.5,48591.0,6811.60009765625,2029.550048828125,44531.76171875,17768.30078125,3372.580078125,17.219999313354492,1.83,0.39,1.589,0.275,2.622,7.4647619048
2015-01-28,0.7921419143676758,0.38921108841896057,233.9149932861328,44.45000076293945,1.1367381811141968,1.5188103914260864,1285.9000244140625,0.008490766398608685,0.08641399443149567,5516.60009765625,47695.0,6825.89990234375,2002.1600341796875,45002.3984375,17795.73046875,3358.9599609375,20.440000534057617,1.73,0.39,1.589,0.275,2.622,7.4647619048
2015-01-29,0.7892659902572632,0.3886362612247467,233.51300048828125,44.529998779296875,1.1281461715698242,1.5142338275909424,1254.5999755859375,0.008503980003297329,0.08643117547035217,5532.2001953125,47762.0,6810.60009765625,2021.25,44768.6796875,17606.220703125,3371.830078125,18.760000228881836,1.77,0.39,1.589,0.275,2.622,7.4647619048
2015-01-30,0.7782101631164551,0.38458579778671265,226.4250030517578,48.2400016784668,1.13355553150177,1.5079090595245361,1278.5,0.008456802926957607,0.08664685487747192,5551.60009765625,46908.0,6749.39990234375,1994.989990234375,45111.03125,17674.390625,3351.43994140625,20.969999313354492,1.68,0.39,1.589,0.275,2.622,7.4647619048
2015-02-02,0.7782101631164551,0.3733014762401581,238.22900390625,49.56999969482422,1.1309019327163696,1.5087052583694458,1276.199951171875,0.008533588610589504,0.08601943403482437,5586.5,47651.0,6782.60009765625,2020.8499755859375,45188.359375,17558.0390625,3370.110107421875,19.43000030517578,1.68,0.39,1.589,0.275,2.622,7.4647619048
2015-02-03,0.7801529169082642,0.3671611249446869,227.26800537109375,53.04999923706055,1.1341726779937744,1.5028102397918701,1259.699951171875,0.008505209349095821,0.086942158639431,5666.2001953125,48964.0,6871.7998046875,2050.030029296875,45708.7109375,17335.849609375,3414.179931640625,17.329999923706055,1.79,0.39,1.589,0.275,2.622,7.4647619048
2015-02-04,0.7762769460678101,0.37159526348114014,226.85299682617188,48.45000076293945,1.145737886428833,1.5142109394073486,1263.800048828125,0.00850007589906454,0.08792135864496231,5733.7001953125,49301.0,6860.0,2041.510009765625,45412.12109375,17678.740234375,3415.530029296875,18.329999923706055,1.81,0.39,1.589,0.275,2.622,7.4647619048
2015-02-05,0.7760962843894958,0.3651900589466095,217.11099243164062,50.47999954223633,1.131874680519104,1.5180034637451172,1262.0,0.008526021614670753,0.08713230490684509,5765.5,49234.0,6865.89990234375,2062.52001953125,45450.890625,17504.619140625,3408.9599609375,16.850000381469727,1.83,0.39,1.589,0.275,2.622,7.4647619048
2015-02-06,0.7799704074859619,0.3647505044937134,222.26600646972656,51.689998626708984,1.147196888923645,1.5325905084609985,1233.9000244140625,0.008508103899657726,0.08858870714902878,5774.7001953125,48792.0,6853.39990234375,2055.469970703125,45744.26953125,17648.5,3398.159912109375,17.290000915527344,1.95,0.39,1.589,0.275,2.622,7.4647619048
2015-02-09,0.7760962843894958,0.3597640097141266,220.11000061035156,52.86000061035156,1.1314393281936646,1.523902416229248,1240.800048828125,0.008405480533838272,0.08696938306093216,5770.10009765625,49383.0,6837.2001953125,2046.739990234375,45875.328125,17711.9296875,3347.75,18.549999237060547,1.96,0.39,1.589,0.275,2.622,7.4647619048
2015-02-10,0.7799095511436462,0.36149370670318604,219.83900451660156,50.02000045776367,1.1326953172683716,1.5216069221496582,1231.5999755859375,0.008434333838522434,0.08639607578516006,5757.39990234375,48510.0,6829.10009765625,2068.590087890625,45916.3984375,17652.6796875,3383.1298828125,17.229999542236328,2.01,0.39,1.589,0.275,2.622,7.4647619048
