,ABEV3.SA,ALPA4.SA,AMER3.SA,B3SA3.SA,BBAS3.SA,BBDC3.SA,BBDC4.SA,BBSE3.SA,BEEF3.SA,BRAP4.SA,BRKM5.SA,CMIG4.SA,COGN3.SA,CPFE3.SA,CSAN3.SA,CSNA3.SA,CVCB3.SA,CYRE3.SA,DXCO3.SA,ECOR3.SA,EGIE3.SA,ENEV3.SA,ENGI11.SA,EQTL3.SA,EZTC3.SA,FLRY3.SA,GGBR4.SA,GOAU4.SA,HYPE3.SA,ITSA4.SA,ITUB4.SA,JHSF3.SA,KLBN11.SA,LREN3.SA,MGLU3.SA,MRVE3.SA,MULT3.SA,PCAR3.SA,PETR3.SA,PETR4.SA,PRIO3.SA,QUAL3.SA,RADL3.SA,RENT3.SA,SANB11.SA,SBSP3.SA,SUZB3.SA,TAEE11.SA,TIMS3.SA,TOTS3.SA,UGPA3.SA,USIM5.SA,VALE3.SA,VIVT3.SA,WEGE3.SA,YDUQ3.SA
2015-01-05,9.578140258789062,3.6847167015075684,1988.4578857421875,2.023933172225952,5.341586589813232,6.987618446350098,7.186215877532959,11.489643096923828,6.804893493652344,1.3759759664535522,10.316740036010742,2.208346128463745,10.390742301940918,10.443068504333496,4.801116466522217,2.792292594909668,10.911015510559082,6.311468124389648,3.881165027618408,7.142068862915039,9.15518569946289,5.561281204223633,6.725469589233398,4.13637638092041,7.138949871063232,4.410818576812744,4.216528415679932,4.125984191894531,11.168453216552734,2.3326609134674072,8.558526039123535,1.356358289718628,7.625156402587891,7.49998664855957,1.9205269813537598,4.404024600982666,10.86562442779541,6.567931175231934,2.3294191360473633,2.249861478805542,0.4063473343849182,16.53373146057129,4.110427379608154,7.905620098114014,5.870978355407715,2.4443674087524414,16.61225700378418,5.9172773361206055,6.548858642578125,9.64977741241455,7.991288661956787,3.5063278675079346,9.83276653289795,8.730116844177246,4.751443862915039,13.878044128417969
2015-01-06,9.943485260009766,3.6521565914154053,1994.085693359375,2.0436251163482666,5.416243076324463,7.173951625823975,7.422613620758057,11.977484703063965,6.706926345825195,1.4373582601547241,10.096028327941895,2.1888656616210938,9.693989753723145,10.633705139160156,4.612009048461914,3.017756700515747,10.765535354614258,6.488094806671143,3.8310208320617676,7.06279182434082,9.340253829956055,5.703877925872803,6.725469589233398,4.36939001083374,7.314356327056885,4.34752082824707,4.659867286682129,4.530179977416992,10.91368579864502,2.3504106998443604,8.696979522705078,1.3626668453216553,7.876781940460205,7.5863776206970215,1.89522385597229,4.52187967300415,11.406448364257812,6.567931175231934,2.270268201828003,2.176267623901367,0.3664114773273468,16.77876853942871,4.229666709899902,8.065327644348145,5.912812232971191,2.4370923042297363,16.61225700378418,5.926729202270508,6.537428855895996,9.046318054199219,8.002633094787598,3.677747964859009,10.226829528808594,8.513449668884277,4.680962085723877,13.067995071411133
2015-01-07,10.083534240722656,3.608743667602539,1974.388671875,2.1245815753936768,5.654664993286133,7.490731239318848,7.717593193054199,11.786250114440918,7.151542663574219,1.4752105474472046,10.0897216796875,2.1888656616210938,9.55009651184082,11.009008407592773,4.6799397468566895,3.3472824096679688,10.670974731445312,6.658834457397461,3.951366662979126,7.624934673309326,9.57579231262207,5.846475124359131,6.725469589233398,4.331857204437256,7.531857013702393,4.315870761871338,5.002007961273193,4.862339019775391,11.567815780639648,2.4391512870788574,9.011630058288574,1.3626668453216553,7.958828926086426,7.7154622077941895,1.9584826231002808,4.621127128601074,11.799775123596191,6.567931175231934,2.3801193237304688,2.278773069381714,0.3654130697250366,16.539859771728516,4.302536487579346,8.149877548217773,6.159182548522949,2.4880170822143555,16.61225700378418,5.936184406280518,6.56028938293457,8.982353210449219,8.21979808807373,3.895920515060425,10.602124214172363,8.805476188659668,4.6273345947265625,12.659619331359863
2015-01-08,10.69113540649414,3.663010835647583,1909.669921875,2.0961380004882812,5.6739277839660645,7.507291316986084,7.7573466300964355,11.751124382019043,7.121400833129883,1.49669349193573,10.114946365356445,2.171156883239746,10.299863815307617,11.235383033752441,4.736856937408447,3.237440586090088,10.292725563049316,6.711820602416992,3.9864673614501953,7.524036884307861,9.673933029174805,5.989071846008301,6.725469589233398,4.3005805015563965,7.542378902435303,4.258325099945068,4.886353969573975,4.6982598304748535,11.540275573730469,2.464506149291992,9.152594566345215,1.488839864730835,7.953358173370361,7.724613189697266,1.9433002471923828,4.676952362060547,11.67440128326416,6.567931175231934,2.5406718254089355,2.425960063934326,0.37739384174346924,16.258071899414062,4.314127445220947,8.011307716369629,6.056916236877441,2.496746778488159,16.61225700378418,5.992897033691406,6.857443332672119,9.190925598144531,8.135525703430176,3.7011234760284424,10.714713096618652,9.163442611694336,4.705478668212891,13.05460262298584
2015-01-09,10.665276527404785,3.646730422973633,1913.421875,2.0414371490478516,5.428285598754883,7.244349002838135,7.420522212982178,11.36866283416748,6.993289947509766,1.4660032987594604,9.894232749938965,2.0950071811676025,10.057515144348145,10.62178897857666,4.589976787567139,3.098693370819092,10.183616638183594,6.352680683135986,3.9313082695007324,7.26458740234375,8.930865287780762,5.989071846008301,6.725469589233398,4.066003799438477,7.156492710113525,4.24393892288208,4.66468620300293,4.446139812469482,11.347481727600098,2.3782999515533447,8.75235652923584,1.4762228727340698,7.958828926086426,7.450183868408203,1.8775111436843872,4.453648567199707,11.750609397888184,6.567931175231934,2.6167232990264893,2.499554395675659,0.43729761242866516,16.405088424682617,4.24788236618042,8.039495468139648,5.996485710144043,2.438547372817993,16.61225700378418,5.9519362449646,6.703151226043701,9.096372604370117,8.036666870117188,3.55307936668396,10.484847068786621,9.01742935180664,4.684024810791016,12.719869613647461
2015-01-13,10.801017761230469,3.8203842639923096,1877.779541015625,1.9867358207702637,5.3030524253845215,7.049734592437744,7.311737060546875,11.38817310333252,6.917930603027344,1.4885098934173584,9.976211547851562,2.0542752742767334,9.800018310546875,10.71114730834961,4.553256988525391,2.9426026344299316,10.103601455688477,6.211379051208496,3.951366662979126,7.343863010406494,8.751401901245117,5.561281204223633,6.725469589233398,4.0566205978393555,7.121410369873047,4.174884796142578,4.423741340637207,4.230035305023193,11.195995330810547,2.3453383445739746,8.530843734741211,1.4762228727340698,7.8384857177734375,7.526411533355713,1.8775111436843872,4.4412431716918945,11.792401313781738,6.567931175231934,2.487154245376587,2.389164686203003,0.3724018633365631,16.129425048828125,4.347248077392578,8.088811874389648,5.861682891845703,2.2697699069976807,16.61225700378418,5.986595630645752,6.697436809539795,9.31606388092041,7.9588775634765625,3.288156032562256,10.559903144836426,9.27177619934082,4.674830913543701,11.588471412658691
2015-01-14,10.833333969116211,3.744410514831543,1857.1446533203125,2.026120901107788,5.341586589813232,7.132552146911621,7.389139652252197,11.193037033081055,6.917930603027344,1.3708611726760864,9.377135276794434,2.064901351928711,9.84545612335205,11.181766510009766,4.604665756225586,2.861665725708008,10.016313552856445,6.187828540802002,3.9363231658935547,7.4231390953063965,9.225284576416016,5.989071846008301,6.489488124847412,4.175472736358643,7.082820415496826,4.177762508392334,4.25507926940918,4.081964015960693,11.22353744506836,2.358016014099121,8.588737487792969,1.4699136018753052,7.685330390930176,7.460346221923828,1.8471474647521973,4.391619682312012,11.814525604248047,6.567931175231934,2.394202947616577,2.3418538570404053,0.34444674849510193,16.54598617553711,4.307502269744873,8.262615203857422,5.940706253051758,2.2421252727508545,16.61225700378418,6.0716681480407715,6.680293560028076,9.246543884277344,8.023703575134277,3.186861991882324,9.710795402526855,9.375397682189941,4.749911785125732,11.903120994567871
2015-01-15,10.852727890014648,3.8420908451080322,1864.6483154296875,2.017369031906128,5.307868003845215,7.08079195022583,7.313827991485596,11.415494918823242,7.272118091583252,1.3800686597824097,9.440195083618164,2.1056318283081055,9.542520523071289,10.95539665222168,4.843343257904053,2.8154172897338867,10.183616638183594,6.287917613983154,3.9062366485595703,7.660968780517578,9.211265563964844,5.703877925872803,6.489488124847412,4.105099678039551,6.767092227935791,4.203657627105713,4.327362060546875,4.12998628616333,11.739953994750977,2.3529446125030518,8.513223648071289,1.463605523109436,7.630631923675537,7.543694496154785,1.8620247840881348,4.267563343048096,12.389763832092285,6.567931175231934,2.605456590652466,2.4469873905181885,0.3454451262950897,16.34383201599121,4.305848121643066,8.314284324645996,6.1359405517578125,2.279954195022583,16.61225700378418,6.166194915771484,6.840298652648926,9.06578254699707,8.048009872436523,3.186861991882324,9.823385238647461,9.537895202636719,4.749911785125732,11.441187858581543
2015-01-16,10.93029499053955,3.8529446125030518,1877.779541015625,2.0786333084106445,5.3704833984375,7.099420070648193,7.384958267211914,11.825276374816895,7.347476482391357,1.440427541732788,9.616765975952148,2.194178581237793,10.17868709564209,11.211555480957031,4.760725021362305,2.9830703735351562,10.30727481842041,6.370344161987305,3.8460628986358643,8.05734920501709,9.415959358215332,5.846475124359131,6.489488124847412,4.112918376922607,6.910924911499023,4.100075721740723,4.539394855499268,4.302069664001465,11.912097930908203,2.3960471153259277,8.644118309020996,1.463605523109436,7.630631923675537,7.541662693023682,1.8773722648620605,4.317185878753662,12.495469093322754,6.567931175231934,2.5998222827911377,2.4811558723449707,0.3174900412559509,16.55211067199707,4.44992733001709,8.455205917358398,6.11269474029541,2.316328287124634,16.61225700378418,6.2544169425964355,6.806012153625488,9.73320484161377,8.159833908081055,3.3037402629852295,10.264358520507812,9.726296424865723,4.749911785125732,12.057097434997559
2015-01-20,10.923828125,4.010318756103516,1870.2760009765625,2.0042409896850586,5.32232141494751,6.857183933258057,7.2071380615234375,11.384267807006836,6.752142906188965,1.4567958116531372,8.292490005493164,2.0719852447509766,9.875748634338379,10.276268005371094,4.718495845794678,2.931039571762085,10.183616638183594,6.240817546844482,3.575284242630005,8.0933837890625,8.986944198608398,5.703877925872803,6.518985748291016,3.920565128326416,6.514511585235596,4.025268077850342,4.428559303283691,4.182011604309082,11.912097930908203,2.3326609134674072,8.3596773147583,1.45729660987854,7.493879795074463,7.4196929931640625,1.7904094457626343,4.38541841506958,12.611011505126953,6.567931175231934,2.504054307937622,2.4469873905181885,0.3254772424697876,16.478599548339844,4.393621444702148,8.337772369384766,6.089454650878906,2.1970205307006836,16.61225700378418,6.2260589599609375,6.800298690795898,9.232640266418457,8.221417427062988,3.1167359352111816,10.19867992401123,9.88879108428955,4.834183692932129,12.217769622802734
