,ABI.BR,AD.AS,ADS.DE,AI.PA,AIR.PA,ALV.DE,ARGX.BR,ASML.AS,BAS.DE,BAYN.DE,BBVA.MC,BMW.DE,BN.PA,BNP.PA,CS.PA,DB1.DE,DBK.DE,DG.PA,DHL.DE,DTE.DE,EL.PA,ENEL.MI,ENI.MI,IBE.MC,IFX.DE,INGA.AS,ISP.MI,ITX.MC,MBG.DE,MC.PA,MUV2.DE,NDA-FI.HE,OR.PA,RHM.DE,RMS.PA,SAF.PA,SAN.MC,SAN.PA,SAP.DE,SGO.PA,SIE.DE,SU.PA,TTE.PA,UCG.MI,VOW.DE,WKL.AS
2015-01-05,70.36183166503906,9.635873794555664,47.721927642822266,51.801414489746094,34.8078727722168,75.090576171875,7.699999809265137,78.24716186523438,36.4140739440918,78.98238372802734,4.0987348556518555,46.37324142456055,36.30325698852539,26.11678123474121,9.631576538085938,45.44375991821289,18.16683578491211,30.189430236816406,22.716999053955078,8.304666519165039,73.6417465209961,1.9219517707824707,6.620213508605957,3.4744210243225098,7.589400768280029,5.507989883422852,1.1213420629501343,16.38365364074707,26.529216766357422,102.65898132324219,97.30386352539062,4.209934711456299,110.62828826904297,28.466224670410156,256.5331726074219,45.05463409423828,4.08339262008667,45.2093391418457,46.70432662963867,25.408109664916992,55.74571990966797,43.75341033935547,20.63846206665039,17.55528450012207,106.05599212646484,20.184574127197266
2015-01-06,69.66271209716797,9.794059753417969,47.59989547729492,51.36911392211914,35.614341735839844,75.17504119873047,7.699999809265137,75.72508239746094,36.403160095214844,79.8864974975586,4.032172203063965,46.78203201293945,36.19257736206055,25.433734893798828,9.526829719543457,45.22856903076172,17.934364318847656,29.859189987182617,22.847505569458008,8.207193374633789,72.715576171875,1.9498705863952637,6.709341049194336,3.4605114459991455,7.396635055541992,5.507989883422852,1.1057947874069214,16.18045997619629,26.70562171936035,101.48734283447266,96.9118881225586,4.209934711456299,110.62828826904297,28.544384002685547,248.52760314941406,45.364131927490234,4.0121917724609375,45.3574104309082,45.65153121948242,25.00414276123047,55.69667053222656,43.814456939697266,20.607486724853516,17.313142776489258,106.9164810180664,20.225021362304688
2015-01-07,71.35614013671875,9.864736557006836,48.07929611206055,51.60107421875,36.541988372802734,75.8789291381836,7.800000190734863,75.97552490234375,36.643333435058594,79.8864974975586,4.0440778732299805,47.03276062011719,36.61454772949219,25.008913040161133,9.628960609436035,46.335262298583984,18.03185272216797,30.95999526977539,22.891008377075195,8.441128730773926,73.76467895507812,1.946520447731018,6.744001388549805,3.456084966659546,7.506537437438965,5.547900676727295,1.0921909809112549,16.3693904876709,26.91411018371582,101.56816101074219,96.76112365722656,4.149440765380859,111.24679565429688,28.466224670410156,254.18899536132812,46.12461853027344,4.037750244140625,45.83869171142578,45.48573684692383,24.936185836791992,56.0522346496582,44.08915328979492,21.07465934753418,17.143640518188477,107.43891143798828,20.176485061645508
2015-01-08,74.89054107666016,10.100333213806152,49.66567611694336,53.773094177246094,37.7872200012207,77.87796783447266,8.399999618530273,78.87323760986328,38.13897705078125,84.22618103027344,4.089535236358643,48.72242736816406,37.67293167114258,25.81968116760254,10.027002334594727,47.64947509765625,18.36181640625,32.043582916259766,23.39128875732422,8.857011795043945,76.52676391601562,2.03474497795105,7.006434917449951,3.52437162399292,7.752509117126465,5.7341628074646,1.15243661403656,17.05025863647461,28.092823028564453,104.75984191894531,99.14317321777344,4.198732376098633,115.28764343261719,29.548110961914062,255.51589965820312,47.50411605834961,4.1722412109375,47.76997756958008,46.48050308227539,25.944204330444336,57.88529586791992,45.905216217041016,21.887712478637695,17.970388412475586,111.58773040771484,20.645706176757812
2015-01-09,73.46124267578125,10.086873054504395,49.52621078491211,52.56583023071289,37.23146438598633,76.49835205078125,8.5,76.77147674560547,37.18373107910156,81.83934020996094,3.9607386589050293,48.0520133972168,36.81515121459961,24.95337677001953,9.801793098449707,47.34205627441406,17.930614471435547,32.036705017089844,23.02586555480957,8.623079299926758,74.95311737060547,1.932003140449524,6.744001388549805,3.483273983001709,7.653074264526367,5.531937599182129,1.1057947874069214,16.732994079589844,27.83222198486328,103.18419647216797,97.33399963378906,4.122554302215576,113.6383056640625,29.124404907226562,250.16404724121094,47.72519302368164,3.584378242492676,46.20273971557617,45.203880310058594,25.544017791748047,56.702083587646484,44.86746597290039,21.19855308532715,16.98452377319336,109.06768798828125,20.621435165405273
2015-01-13,75.69063568115234,10.39987564086914,49.07296371459961,54.01033020019531,38.0797233581543,78.46923065185547,8.800000190734863,79.62448120117188,38.77216720581055,85.6365737915039,4.048948287963867,49.398292541503906,37.67985153198242,25.736385345458984,10.0374755859375,48.18745040893555,18.500553131103516,33.209747314453125,23.661001205444336,9.003220558166504,77.37096405029297,1.9789066314697266,6.8875956535339355,3.503507137298584,7.811821937561035,5.6995697021484375,1.1640969514846802,17.34613609313965,28.9748592376709,107.42630004882812,99.5050277709961,4.160644054412842,117.63793182373047,29.206680297851562,256.31201171875,47.93741989135742,3.7426016330718994,47.40593338012695,47.64935302734375,26.057464599609375,57.53585433959961,46.897186279296875,21.526355743408203,17.589876174926758,112.26380157470703,20.783235549926758
2015-01-14,74.62643432617188,10.38978099822998,48.332069396972656,53.298622131347656,37.72454071044922,77.65272521972656,8.600000381469727,78.16669464111328,38.38461685180664,84.5155029296875,4.002948760986328,48.38993835449219,37.084938049316406,24.95337677001953,9.846311569213867,47.365108489990234,18.14059066772461,32.65590286254883,23.386938095092773,8.931740760803223,76.5595474243164,1.9409362077713013,6.68458366394043,3.4649369716644287,7.842352867126465,5.598456859588623,1.1621534824371338,17.51724624633789,28.585960388183594,107.22430419921875,98.8115234375,4.109111785888672,116.77204132080078,28.939294815063477,252.24290466308594,47.707496643066406,3.708317756652832,46.72721481323242,46.812095642089844,25.328821182250977,56.855350494384766,45.98915481567383,21.069499969482422,17.36503028869629,110.665771484375,21.021888732910156
2015-01-15,76.90242767333984,10.463826179504395,49.16883850097656,54.458431243896484,38.668907165527344,79.20127868652344,8.649999618530273,78.64068603515625,39.274356842041016,87.15545654296875,4.052194595336914,49.638118743896484,37.87354278564453,25.592002868652344,10.207691192626953,48.50254440307617,18.560548782348633,33.16158676147461,23.778459548950195,9.042210578918457,79.47734832763672,2.0202271938323975,6.932161808013916,3.4933905601501465,7.920855522155762,5.702231407165527,1.1961630582809448,17.417430877685547,29.239473342895508,109.1231460571289,101.4649658203125,4.2278594970703125,120.48301696777344,29.626266479492188,252.8178253173828,48.50336456298828,3.7581863403320312,48.02912139892578,47.91462707519531,25.2080078125,58.026302337646484,47.4542121887207,21.655412673950195,17.572582244873047,112.57112884521484,21.050199508666992
2015-01-16,78.2618179321289,10.60854721069336,49.32573699951172,54.90654373168945,38.77336883544922,80.2430191040039,8.680000305175781,79.33828735351562,39.66737365722656,89.46997833251953,4.076006889343262,51.01165771484375,38.47536849975586,25.53924560546875,10.425045013427734,48.92524337768555,18.526803970336914,32.8829460144043,23.97422218322754,9.129935264587402,80.02648162841797,2.074948310852051,7.164883613586426,3.5357539653778076,7.949639320373535,5.835275173187256,1.213653564453125,17.485158920288086,29.82080841064453,108.43633270263672,103.1837158203125,4.290593147277832,120.93655395507812,29.91834259033203,250.91600036621094,48.812870025634766,3.746342420578003,49.31871032714844,47.72395706176758,25.245763778686523,58.529014587402344,47.97308349609375,22.35230827331543,18.074159622192383,115.3062973022461,21.288862228393555
2015-01-20,78.18412017822266,10.62537670135498,50.89468002319336,55.881839752197266,39.345848083496094,80.2430191040039,8.619999885559082,80.05377197265625,40.437034606933594,89.54229736328125,4.231318950653076,51.638465881347656,39.0010986328125,26.511062622070312,10.55859661102295,50.377784729003906,18.991750717163086,33.14783477783203,24.417945861816406,9.289140701293945,80.81330108642578,2.1017508506774902,7.06585168838501,3.6065707206726074,8.140658378601074,6.010892391204834,1.2457195520401,18.119688034057617,30.041324615478516,110.2947769165039,104.1787338256836,4.377974033355713,122.6270980834961,32.246639251708984,252.15443420410156,49.29038619995117,3.798703670501709,49.59020233154297,45.48573684692383,26.427448272705078,59.718353271484375,49.50682067871094,22.491687774658203,18.714109420776367,116.2282485961914,21.341447830200195
2015-01-21,79.31048583984375,10.733078956604004,50.59831619262695,56.013633728027344,39.12855529785156,80.69351196289062,8.489999771118164,82.09291076660156,40.67721176147461,89.10832214355469,4.2545881271362305,51.73657989501953,39.319305419921875,26.805377960205078,10.605735778808594,50.27787399291992,19.201732635498047,33.59158706665039,24.539752960205078,9.324881553649902,81.43621826171875,2.1363706588745117,7.3134307861328125,3.648301124572754,8.140658378601074,6.061448574066162,1.240861177444458,18.511812210083008,30.037311553955078,111.0219955444336,104.54058074951172,4.382454872131348,123.53426361083984,32.4852294921875,250.29676818847656,49.06047058105469,3.7700300216674805,49.7382926940918,45.76758575439453,27.28067970275879,60.4662971496582,50.872684478759766,22.945959091186523,19.163799285888672,116.75067138671875,21.406164169311523
2015-01-22,80.51451873779297,10.729710578918457,50.790077209472656,56.988929748535156,39.554779052734375,81.594482421875,8.479999542236328,84.0336685180664,41.31040954589844,89.0359878540039,4.316821098327637,53.4371452331543,39.92804718017578,27.432891845703125,10.809991836547852,50.80047607421875,19.71542739868164,33.52622604370117,24.561504364013672,9.506830215454102,79.32162475585938,2.207843780517578,7.476829528808594,3.7684364318847656,8.158103942871094,6.173203945159912,1.267096996307373,18.615190505981445,30.9794864654541,111.38560485839844,106.0783920288086,4.566177845001221,123.90534210205078,32.629215240478516,249.41217041015625,50.13045120239258,3.816781520843506,50.08381271362305,46.53024673461914,28.673784255981445,60.84638595581055,51.528907775878906,23.263425827026367,19.872928619384766,119.54729461669922,21.406164169311523
