,ALD.AX,ALL.AX,ANZ.AX,APA.AX,ASX.AX,AZJ.AX,BHP.AX,BSL.AX,BXB.AX,CAR.AX,CBA.AX,CPU.AX,CSL.AX,FMG.AX,GMG.AX,IAG.AX,IGO.AX,ILU.AX,JHX.AX,LYC.AX,MIN.AX,MQG.AX,NAB.AX,NST.AX,NWS.AX,ORG.AX,ORI.AX,QAN.AX,QBE.AX,REA.AX,RIO.AX,RMD.AX,SCG.AX,SEK.AX,SHL.AX,STO.AX,TCL.AX,TLS.AX,TWE.AX,WBC.AX,WDS.AX,WES.AX,WOW.AX,XRO.AX
2015-01-05,22.38922691345215,5.5859270095825195,16.907032012939453,4.3006911277771,24.251571655273438,2.5343737602233887,11.62332820892334,4.517770767211914,7.736724853515625,7.307676792144775,51.420902252197266,8.529378890991211,74.51264953613281,1.0133315324783325,4.614044189453125,3.976749897003174,3.592555046081543,2.0559396743774414,10.985105514526367,0.6707159876823425,6.025505065917969,37.16930389404297,16.996089935302734,1.2343021631240845,17.63707733154297,6.743494033813477,14.171725273132324,2.185201406478882,7.487919807434082,39.4769401550293,28.214162826538086,6.644432544708252,2.013636350631714,13.819680213928223,12.723611831665039,5.068689823150635,5.4260573387146,3.3364410400390625,3.4671876430511475,17.843124389648438,19.154151916503906,16.48821258544922,16.91913414001465,15.520000457763672
2015-01-06,22.078441619873047,5.535068988800049,16.702068328857422,4.272944450378418,23.89069175720215,2.480220079421997,11.083165168762207,4.353060722351074,7.679150581359863,7.106993675231934,51.03202819824219,8.357064247131348,73.13704681396484,1.002551555633545,4.55051326751709,3.9142212867736816,3.5686569213867188,1.9960581064224243,10.97680377960205,0.6115350127220154,5.766343593597412,36.31673812866211,16.859554290771484,1.3046104907989502,17.13451385498047,6.457751750946045,13.82535457611084,2.28135085105896,7.35480260848999,39.112056732177734,27.7847843170166,6.532130718231201,1.9685132503509521,13.748733520507812,12.580726623535156,4.633002281188965,5.438474178314209,3.3141226768493652,3.459857225418091,17.68707847595215,18.219682693481445,16.421266555786133,16.672958374023438,15.399999618530273
2015-01-07,21.856449127197266,5.52659273147583,16.6705379486084,4.189704895019531,23.916934967041016,2.469388961791992,11.083165168762207,4.227566719055176,7.5136189460754395,7.162352085113525,50.918357849121094,8.349888801574707,73.23893737792969,0.9845849275588989,4.590220928192139,3.8829574584960938,3.4969658851623535,1.9760966300964355,10.827346801757812,0.6115350127220154,5.622365474700928,36.533058166503906,16.900007247924805,1.335858941078186,17.08710479736328,6.354886531829834,13.582158088684082,2.2376468181610107,7.268274784088135,39.27712631225586,27.640039443969727,6.522772789001465,2.0192770957946777,13.638367652893066,12.607941627502441,4.571639537811279,5.382599830627441,3.319702386856079,3.401216506958008,17.590221405029297,18.059768676757812,16.314939498901367,16.75688934326172,15.5600004196167
2015-01-08,21.818395614624023,5.6283087730407715,16.770389556884766,4.26184606552124,24.080974578857422,2.4964661598205566,11.189620018005371,4.266783714294434,7.571196556091309,7.224634647369385,51.085880279541016,8.558096885681152,72.90777587890625,0.9594312310218811,4.614044189453125,3.939232110977173,3.504931688308716,1.9627904891967773,10.702799797058105,0.6411259770393372,5.58636999130249,36.82572937011719,17.051713943481445,1.2889864444732666,16.925905227661133,6.406318664550781,13.338959693908691,2.220165252685547,7.421361923217773,39.09468078613281,28.29618263244629,6.560205936431885,2.036198616027832,13.685667037963867,12.533096313476562,4.4795918464660645,5.469514846801758,3.3587570190429688,3.3425745964050293,17.65479278564453,17.969823837280273,16.464582443237305,16.58343505859375,15.6899995803833
2015-01-09,22.42093849182129,5.721550464630127,17.022653579711914,4.278493881225586,24.389373779296875,2.5289580821990967,11.49715805053711,4.392275810241699,7.599984645843506,7.397639751434326,51.47474670410156,8.859639167785645,73.96068572998047,0.998958170413971,4.685519218444824,4.026771545410156,3.6642465591430664,2.049285411834717,10.985105514526367,0.6312620043754578,5.802337646484375,36.86391067504883,17.309614181518555,1.3280469179153442,17.162961959838867,6.577764987945557,13.854832649230957,2.185201406478882,7.474610805511475,39.37268829345703,28.65802764892578,6.69122314453125,2.058759927749634,13.953701972961426,12.6011381149292,4.7189130783081055,5.450890064239502,3.3866541385650635,3.4232070446014404,17.972267150878906,18.514511108398438,16.822938919067383,16.907943725585938,15.800000190734863
2015-01-13,22.300432205200195,5.687644004821777,16.901779174804688,4.284043788909912,24.054733276367188,2.561450481414795,11.027965545654297,4.290313720703125,7.470438480377197,7.418400287628174,51.03202819824219,8.744766235351562,73.44271850585938,0.9163104891777039,4.637868881225586,3.9892544746398926,3.5845890045166016,2.042632579803467,10.74431324005127,0.58194500207901,5.499981880187988,36.25947189331055,17.09722137451172,1.4139792919158936,17.115554809570312,6.189156532287598,13.338959693908691,2.141497850418091,7.288243293762207,39.77231979370117,27.722057342529297,6.7380146980285645,2.0700409412384033,13.520113945007324,12.342582702636719,4.42436408996582,5.475723743438721,3.40897274017334,3.4525272846221924,17.972267150878906,17.84989356994629,16.73236846923828,16.728906631469727,15.350000381469727
2015-01-14,22.18626594543457,5.577451229095459,16.644258499145508,4.272944450378418,23.995676040649414,2.5127124786376953,10.724370002746582,4.102072238922119,7.441650867462158,7.217715263366699,50.06285095214844,8.62989330291748,72.8738021850586,0.8408496975898743,4.645810604095459,3.9892544746398926,3.4412059783935547,2.1457626819610596,10.370672225952148,0.5622180104255676,5.31281042098999,35.57869338989258,17.04665756225586,1.4217910766601562,17.096588134765625,6.240589618682861,13.191567420959473,2.1327574253082275,7.135157108306885,39.49430465698242,26.795740127563477,6.859673976898193,2.0813214778900146,13.323027610778809,12.349388122558594,4.516411304473877,5.481932640075684,3.4424476623535156,3.459857225418091,17.826980590820312,17.759937286376953,16.60240936279297,16.78485870361328,15.350000381469727
2015-01-15,22.05306625366211,5.535068988800049,16.554914474487305,4.306240558624268,23.81851577758789,2.485635757446289,10.606087684631348,4.000108242034912,7.441650867462158,7.127755641937256,49.96113586425781,8.708870887756348,73.28141021728516,0.815696120262146,4.606103897094727,3.976749897003174,3.2659592628479004,2.092533826828003,10.196306228637695,0.5523539781570435,5.25521993637085,35.53416061401367,16.950580596923828,1.4452276229858398,16.93538475036621,6.080574989318848,12.926260948181152,2.062830924987793,7.168437957763672,39.96344757080078,26.139591217041016,6.8690314292907715,2.0926029682159424,13.29937744140625,12.410623550415039,4.590048313140869,5.581264972686768,3.459186315536499,3.474517583847046,17.644031524658203,17.520076751708984,16.775678634643555,16.924732208251953,15.100000381469727
2015-01-16,21.48858642578125,5.424875259399414,16.428783416748047,4.317338943481445,23.84476089477539,2.458559274673462,10.66523265838623,3.9765801429748535,7.36248254776001,7.0862321853637695,49.99702072143555,8.479121208190918,70.47921752929688,0.8300694823265076,4.5981621742248535,3.9267284870147705,3.3934104442596436,2.0393049716949463,9.839268684387207,0.5523539781570435,4.888072967529297,35.177860260009766,16.87472152709961,1.5428777933120728,16.58453941345215,5.994852066040039,12.690436363220215,2.0191261768341064,6.908856391906738,39.48563003540039,25.99968147277832,6.756731033325195,2.115164279937744,12.9130859375,12.179285049438477,4.596184730529785,5.562640190124512,3.4703447818756104,3.4525272846221924,17.627887725830078,17.070331573486328,16.783557891845703,17.17091178894043,15.489999771118164
2015-01-20,21.272937774658203,5.323160171508789,16.56016731262207,4.245197772979736,24.035045623779297,2.485635757446289,10.834771156311035,3.9687352180480957,7.333695888519287,7.023951053619385,49.95514678955078,8.278091430664062,71.12454223632812,0.8372563123703003,4.621985912322998,3.9267284870147705,3.504931688308716,2.1457626819610596,9.88908863067627,0.5030369758605957,4.80888557434082,38.04732131958008,16.970802307128906,1.57803213596344,16.745742797851562,5.954848289489746,12.778870582580566,1.984163522720337,7.008693218231201,39.92000961303711,25.90319061279297,6.80352258682251,2.0531198978424072,13.141706466674805,12.16567611694336,4.534819602966309,5.581264972686768,3.453606605529785,3.401216506958008,17.697837829589844,16.115875244140625,16.763866424560547,16.83521270751953,15.15999984741211
