,ABEV3.SA,ALPA4.SA,AMER3.SA,B3SA3.SA,BBAS3.SA,BBDC3.SA,BBDC4.SA,BBSE3.SA,BEEF3.SA,BRAP4.SA,BRKM5.SA,CMIG4.SA,COGN3.SA,CPFE3.SA,CSAN3.SA,CSNA3.SA,CVCB3.SA,CYRE3.SA,DXCO3.SA,ECOR3.SA,EGIE3.SA,ENEV3.SA,ENGI11.SA,EQTL3.SA,EZTC3.SA,FLRY3.SA,GGBR4.SA,GOAU4.SA,HYPE3.SA,ITSA4.SA,ITUB4.SA,JHSF3.SA,KLBN11.SA,LREN3.SA,MGLU3.SA,MRVE3.SA,MULT3.SA,PCAR3.SA,PETR3.SA,PETR4.SA,PRIO3.SA,QUAL3.SA,RADL3.SA,RENT3.SA,SANB11.SA,SBSP3.SA,SUZB3.SA,TAEE11.SA,TIMS3.SA,TOTS3.SA,UGPA3.SA,USIM5.SA,VALE3.SA,VIVT3.SA,WEGE3.SA,YDUQ3.SA
2015-01-05,8.974660873413086,3.6847169399261475,1988.4578857421875,2.023932933807373,5.341588497161865,6.987617492675781,7.186217784881592,11.489645004272461,6.80489444732666,1.3759759664535522,10.316740036010742,2.2085366249084473,10.39074420928955,10.443069458007812,4.801115989685059,2.792293071746826,10.911015510559082,6.311469554901123,3.8811659812927246,7.409820556640625,9.155187606811523,5.561281204223633,6.725470542907715,4.136377334594727,7.194141864776611,4.4108195304870605,4.249088287353516,4.1586012840271,11.168451309204102,2.3326611518859863,8.558537483215332,1.3564074039459229,7.625161647796631,7.499986171722412,1.9205269813537598,4.404025554656982,10.865625381469727,6.567930698394775,2.3301568031311035,2.250650644302368,0.4063473343849182,16.53373908996582,4.1104278564453125,7.905617713928223,5.870977878570557,2.4443674087524414,16.61225700378418,5.998266696929932,6.548925399780273,9.64977741241455,7.9912896156311035,3.5063278675079346,9.832767486572266,8.730118751525879,4.751443386077881,13.878047943115234
2015-01-06,9.316986083984375,3.6521570682525635,1994.085693359375,2.0436253547668457,5.416243553161621,7.17395544052124,7.4226179122924805,11.977483749389648,6.706927299499512,1.4373582601547241,10.096028327941895,2.1890549659729004,9.693987846374512,10.633705139160156,4.612009525299072,3.0177571773529053,10.765538215637207,6.488093852996826,3.8310203552246094,7.327572822570801,9.340252876281738,5.703877925872803,6.725470542907715,4.36939001083374,7.370904922485352,4.347520351409912,4.695849895477295,4.565989971160889,10.91368579864502,2.350409507751465,8.696978569030762,1.3627166748046875,7.876778602600098,7.586383819580078,1.895223617553711,4.521880149841309,11.406448364257812,6.567930698394775,2.270986795425415,2.177030563354492,0.3664114773273468,16.778764724731445,4.2296671867370605,8.065328598022461,5.912815093994141,2.4370927810668945,16.61225700378418,6.0078511238098145,6.537496566772461,9.046317100524902,8.00263500213623,3.677748203277588,10.226827621459961,8.513455390930176,4.680960655212402,13.0679931640625
2015-01-07,9.44821548461914,3.6087446212768555,1974.388671875,2.124581813812256,5.6546630859375,7.490729808807373,7.717597961425781,11.786252975463867,7.151543140411377,1.4752106666564941,10.0897216796875,2.1890549659729004,9.550095558166504,11.009008407592773,4.679940223693848,3.3472824096679688,10.670974731445312,6.658834457397461,3.951367139816284,7.910788536071777,9.575791358947754,5.846475124359131,6.725470542907715,4.3318586349487305,7.590087413787842,4.3158698081970215,5.040632724761963,4.90077543258667,11.567819595336914,2.4391520023345947,9.011634826660156,1.3627166748046875,7.958829879760742,7.715462684631348,1.9584825038909912,4.621126174926758,11.799775123596191,6.567930698394775,2.380873680114746,2.2795724868774414,0.3654130697250366,16.539857864379883,4.302536487579346,8.149879455566406,6.159180164337158,2.4880168437957764,16.61225700378418,6.017430782318115,6.560354709625244,8.982357025146484,8.219799041748047,3.8959197998046875,10.602127075195312,8.80548095703125,4.62733268737793,12.65961742401123
2015-01-08,10.017529487609863,3.663010597229004,1909.669921875,2.0961382389068604,5.673929214477539,7.507292747497559,7.757344722747803,11.751126289367676,7.12139892578125,1.4966942071914673,10.114946365356445,2.17134428024292,10.299860954284668,11.235384941101074,4.736856460571289,3.237440347671509,10.292724609375,6.711822986602783,3.9864678382873535,7.806108474731445,9.673933982849121,5.989071846008301,6.725470542907715,4.300581455230713,7.600691318511963,4.25832462310791,4.924086570739746,4.735400676727295,11.540275573730469,2.4645071029663086,9.152596473693848,1.4888933897018433,7.953357219696045,7.724612712860107,1.943299651145935,4.676951885223389,11.67440128326416,6.567930698394775,2.5414767265319824,2.4268109798431396,0.37739384174346924,16.258071899414062,4.314126014709473,8.011308670043945,6.056917190551758,2.4967470169067383,16.61225700378418,6.074923992156982,6.857512950897217,9.190924644470215,8.13552474975586,3.7011232376098633,10.714714050292969,9.163444519042969,4.705475330352783,13.054604530334473
2015-01-09,9.993301391601562,3.646730422973633,1913.421875,2.0414376258850098,5.428284645080566,7.244347095489502,7.4205169677734375,11.368659019470215,6.993288993835449,1.4660035371780396,9.894232749938965,2.0951881408691406,10.057513236999512,10.621787071228027,4.589976787567139,3.0986931324005127,10.183615684509277,6.352680683135986,3.9313082695007324,7.536932945251465,8.930861473083496,5.989071846008301,6.725470542907715,4.066003799438477,7.21182107925415,4.24393892288208,4.700705051422119,4.48128604888916,11.347480773925781,2.378300428390503,8.75235366821289,1.4762756824493408,7.958829879760742,7.450182914733887,1.8775112628936768,4.453649520874023,11.75060749053955,6.567930698394775,2.6175520420074463,2.5004305839538574,0.43729761242866516,16.405088424682617,4.247882843017578,8.039491653442383,5.996485233306885,2.4385476112365723,16.61225700378418,6.0334014892578125,6.703219413757324,9.096375465393066,8.036667823791504,3.5530788898468018,10.484844207763672,9.01743221282959,4.684024333953857,12.719871520996094
2015-01-13,10.120490074157715,3.8203847408294678,1877.779541015625,1.9867360591888428,5.303053855895996,7.049735069274902,7.311736583709717,11.388169288635254,6.917931079864502,1.4885101318359375,9.976212501525879,2.054452896118164,9.800016403198242,10.711145401000977,4.553257465362549,2.9426026344299316,10.103602409362793,6.211379528045654,3.951367139816284,7.619180202484131,8.75140380859375,5.561281204223633,6.725470542907715,4.056619644165039,7.176468372344971,4.1748857498168945,4.457900047302246,4.263472557067871,11.19599723815918,2.345337390899658,8.530838966369629,1.4762756824493408,7.838489532470703,7.526413917541504,1.8775112628936768,4.441242694854736,11.792399406433105,6.567930698394775,2.4879422187805176,2.3900017738342285,0.3724018633365631,16.129425048828125,4.3472490310668945,8.088814735412598,5.8616814613342285,2.2697691917419434,16.61225700378418,6.068535327911377,6.697505950927734,9.316065788269043,7.958876609802246,3.288156509399414,10.55990219116211,9.271775245666504,4.674832344055176,11.588469505310059
2015-01-14,10.150775909423828,3.744410276412964,1857.1446533203125,2.02612042427063,5.341588497161865,7.1325483322143555,7.389141082763672,11.193037986755371,6.917931079864502,1.370861530303955,9.377134323120117,2.065079927444458,9.845457077026367,11.181766510009766,4.604664325714111,2.861666440963745,10.016312599182129,6.187829494476318,3.9363229274749756,7.701428413391113,9.225285530090332,5.989071846008301,6.489488124847412,4.175473213195801,7.13757848739624,4.177761554718018,4.287937164306641,4.114232063293457,11.223535537719727,2.358015298843384,8.588739395141602,1.4699668884277344,7.685328960418701,7.4603495597839355,1.8471475839614868,4.391619682312012,11.814523696899414,6.567930698394775,2.394961357116699,2.342674970626831,0.34444674849510193,16.545989990234375,4.307502269744873,8.262616157531738,5.940703868865967,2.2421252727508545,16.61225700378418,6.154773235321045,6.680362224578857,9.246543884277344,8.023701667785645,3.1868622303009033,9.710796356201172,9.375397682189941,4.749911785125732,11.903119087219238
2015-01-15,10.16894245147705,3.8420915603637695,1864.6483154296875,2.017369508743286,5.307868480682373,7.080787181854248,7.313828945159912,11.415491104125977,7.272119045257568,1.3800685405731201,9.44019603729248,2.1058144569396973,9.542520523071289,10.95539665222168,4.843344211578369,2.8154170513153076,10.183615684509277,6.2879180908203125,3.9062368869781494,7.948174953460693,9.211264610290527,5.703877925872803,6.489488124847412,4.105099678039551,6.8194122314453125,4.203656196594238,4.360780239105225,4.162635803222656,11.739959716796875,2.352944850921631,8.513223648071289,1.4636582136154175,7.63062858581543,7.543691158294678,1.8620251417160034,4.267563819885254,12.389761924743652,6.567930698394775,2.6062815189361572,2.447845458984375,0.3454451262950897,16.34383201599121,4.305847644805908,8.314287185668945,6.135937690734863,2.279954195022583,16.61225700378418,6.250592231750488,6.8403706550598145,9.06578254699707,8.04801082611084,3.1868622303009033,9.823384284973145,9.537893295288086,4.749911785125732,11.441186904907227
2015-01-16,10.241620063781738,3.852944850921631,1877.779541015625,2.0786335468292236,5.370483875274658,7.099419593811035,7.384965896606445,11.825279235839844,7.347476482391357,1.440427541732788,9.616765975952148,2.1943681240081787,10.17868709564209,11.211553573608398,4.7607245445251465,2.983069896697998,10.307273864746094,6.37034273147583,3.8460633754730225,8.359415054321289,9.415961265563965,5.846475124359131,6.489488124847412,4.112918853759766,6.964354991912842,4.100077152252197,4.574446678161621,4.336077690124512,11.912097930908203,2.396048069000244,8.644116401672363,1.4636582136154175,7.63062858581543,7.541658401489258,1.8773720264434814,4.317185878753662,12.495469093322754,6.567930698394775,2.6006453037261963,2.482025623321533,0.3174900412559509,16.552114486694336,4.449926376342773,8.455206871032715,6.11269474029541,2.316328525543213,16.61225700378418,6.340023040771484,6.806084156036377,9.733202934265137,8.159835815429688,3.3037397861480713,10.264358520507812,9.726295471191406,4.749911785125732,12.057098388671875
2015-01-20,10.235563278198242,4.010318756103516,1870.2760009765625,2.004241466522217,5.3223185539245605,6.857183456420898,7.207132339477539,11.384268760681152,6.752142429351807,1.4567960500717163,8.292489051818848,2.0721638202667236,9.875750541687012,10.276265144348145,4.718495845794678,2.931039810180664,10.183615684509277,6.240818023681641,3.575284957885742,8.396800994873047,8.986942291259766,5.703877925872803,6.518984794616699,3.920565605163574,6.564877033233643,4.0252685546875,4.462756633758545,4.2150702476501465,11.912097930908203,2.3326611518859863,8.3596773147583,1.4573493003845215,7.493879795074463,7.419692516326904,1.7904092073440552,4.385417461395264,12.61101245880127,6.567930698394775,2.504847764968872,2.447845458984375,0.3254772424697876,16.478599548339844,4.393620491027832,8.337770462036133,6.0894551277160645,2.1970207691192627,16.61225700378418,6.311275959014893,6.80036735534668,9.23264217376709,8.221417427062988,3.1167356967926025,10.198681831359863,9.8887939453125,4.834185600280762,12.21777057647705
