,ABG.JO,AGL.JO,ANG.JO,APN.JO,BTI.JO,BVT.JO,CLS.JO,CPI.JO,DSY.JO,EXX.JO,FSR.JO,GFI.JO,GLN.JO,GRT.JO,IMP.JO,INL.JO,INP.JO,MNP.JO,MRP.JO,MTN.JO,NED.JO,NPN.JO,NRP.JO,REM.JO,RMH.JO,SBK.JO,SHP.JO,SLM.JO,SOL.JO,VOD.JO,WHL.JO
2015-02-10,18653.24609375,19883.38671875,14087.1875,42691.234375,65032.67578125,8570.998046875,9032.966796875,38770.41796875,11563.3779296875,10792.46875,5159.64599609375,6482.46630859375,4796.21923828125,2895.763916015625,7971.58935546875,5605.55908203125,5170.47802734375,23906.146484375,25755.27734375,21164.59765625,25319.296875,20974.080078125,11789.0546875,19128.333984375,95.05166625976562,15076.7060546875,17944.51953125,7457.6328125,45794.73046875,13483.8369140625,8256.216796875
2015-02-12,18559.94921875,20466.220703125,14102.171875,43750.7734375,65287.28515625,8475.001953125,9042.9423828125,39119.703125,11600.3271484375,10634.5107421875,5218.3017578125,6061.6044921875,5033.03173828125,2936.35400390625,7428.185546875,5836.64404296875,5417.9228515625,24914.783203125,26087.958984375,21286.966796875,25686.681640625,20538.833984375,12515.123046875,19140.96484375,96.93714141845703,15154.2001953125,17777.017578125,7731.0791015625,46867.69921875,13360.6259765625,8633.673828125
2015-02-13,18460.701171875,21181.59765625,14446.859375,43817.6796875,64454.8359375,8521.1142578125,9078.8583984375,39618.67578125,11504.0634765625,10880.3349609375,5218.3017578125,5754.4345703125,5155.935546875,2935.363525390625,7876.86767578125,5861.23974609375,5426.89111328125,24805.271484375,26196.53125,21517.7734375,25954.767578125,20292.876953125,12476.9072265625,19772.212890625,97.23937225341797,15303.228515625,17846.8125,7847.41796875,47621.56640625,13576.248046875,9013.1201171875
2015-02-18,18796.166015625,21633.822265625,13787.45703125,41826.421875,64620.9140625,8674.546875,8748.62890625,39562.796875,11290.142578125,10863.5498046875,5232.2177734375,5122.14501953125,5182.9150390625,2837.3525390625,7478.03955078125,5873.25341796875,5442.1904296875,24580.765625,25106.83984375,21230.259765625,25220.009765625,20227.18359375,12505.5712890625,19427.130859375,97.2105941772461,15225.7353515625,16999.337890625,7657.4970703125,44371.75,13662.6953125,8813.9375
2015-02-19,19046.279296875,21284.91015625,13780.4658203125,42828.04296875,65769.65625,8888.115234375,8905.263671875,39718.46875,11376.6845703125,10672.025390625,5219.294921875,5221.875,5086.98876953125,2831.4140625,7677.453125,5908.14404296875,5485.45458984375,25001.3046875,26090.955078125,21124.8046875,25596.322265625,20583.294921875,12551.4296875,19712.6015625,95.5122299194336,15309.1923828125,17460.962890625,7709.2041015625,42785.21484375,13707.4111328125,9162.509765625
2015-02-20,18857.705078125,21750.779296875,13658.5751953125,41942.2734375,65514.04296875,8709.87109375,8941.181640625,40117.65625,11182.2099609375,11058.0361328125,5174.55810546875,5101.20166015625,5185.91259765625,2821.513427734375,7827.0146484375,5901.8525390625,5432.1669921875,24892.884765625,26196.53125,21414.310546875,25509.94140625,20885.650390625,12603.0185546875,19672.6171875,96.05913543701172,15431.392578125,17432.044921875,7755.9375,44474.453125,13682.5712890625,9365.6806640625
2015-02-23,18859.69140625,21130.921875,13247.9482421875,42632.3125,66376.3671875,8746.8115234375,8959.140625,41095.63671875,11221.1025390625,11239.6884765625,5204.3837890625,4980.52880859375,5155.935546875,2905.663818359375,7777.16064453125,5980.78857421875,5518.16748046875,25121.771484375,26395.74609375,21383.47265625,25418.587890625,21495.87890625,12610.658203125,19711.19921875,97.6280288696289,15390.6611328125,17846.8125,7684.3447265625,44110.48828125,13570.2861328125,9361.6943359375
2015-02-24,18827.923828125,21238.123046875,12978.1953125,43300.3984375,66397.2421875,8735.7578125,8976.0986328125,41579.640625,11094.6982421875,11412.4560546875,5273.9736328125,5051.33544921875,5231.875,2888.833740234375,7639.56396484375,5934.4560546875,5481.23486328125,25409.791015625,26181.587890625,21004.431640625,25320.294921875,21543.11328125,12906.8173828125,19692.255859375,99.31204986572266,15380.7236328125,16849.787109375,7707.21533203125,42450.16796875,13544.453125,9362.6923828125
2015-02-25,19318.23046875,21243.97265625,12878.2861328125,42166.9609375,65449.40234375,8690.7216796875,8758.60546875,41405.01953125,11619.7763671875,11155.7705078125,5305.78515625,5124.14111328125,5305.81787109375,2930.41357421875,7552.8193359375,5972.20703125,5494.95263671875,26223.5,26515.275390625,20837.29296875,25517.8828125,21258.46875,12992.7978515625,19715.404296875,99.22562408447266,15571.48046875,16816.880859375,7844.435546875,41732.19921875,13717.3466796875,9207.3271484375
2015-02-26,19324.177734375,21247.87109375,12860.3046875,42383.66015625,66871.640625,8657.5576171875,8649.8583984375,42113.546875,11610.0498046875,11353.21875,5373.388671875,5372.466796875,5315.80859375,2931.40380859375,7410.23876953125,5918.4404296875,5451.68896484375,25857.71875,26538.181640625,20924.841796875,25521.85546875,21298.041015625,13116.99609375,19666.306640625,99.26883697509766,15595.3251953125,16321.3564453125,7740.02880859375,42321.52734375,13579.2294921875,9033.0390625
2015-02-27,19128.66015625,21426.228515625,13100.0830078125,41323.1171875,67274.4609375,8674.2783203125,8934.1982421875,40916.015625,11647.974609375,11280.1650390625,5318.7099609375,5411.36279296875,5425.7236328125,2938.334228515625,7150.001953125,5891.55712890625,5471.73779296875,26230.068359375,26868.880859375,20557.73828125,25400.716796875,21508.189453125,13136.1025390625,19428.529296875,97.70001220703125,15152.21484375,16550.67578125,7517.2939453125,42252.7265625,13493.7734375,8954.3623046875
2015-03-02,18907.330078125,21012.98828125,13138.046875,41534.82421875,67268.5,8467.181640625,8979.0947265625,41891.00390625,11571.15625,11131.09375,5291.8671875,5328.78271484375,5415.73095703125,2935.363525390625,7036.3359375,5920.15673828125,5480.70654296875,26212.548828125,26550.138671875,20496.052734375,24951.921875,21354.060546875,13202.0224609375,18873.732421875,98.11737823486328,15027.03125,16521.763671875,7463.5986328125,41283.46484375,13543.45703125,8839.78515625
2015-03-03,18287.0078125,21317.068359375,12871.29296875,41542.8203125,67760.8359375,8750.3212890625,9028.9765625,43238.25390625,11765.6279296875,10859.6015625,5240.17333984375,5110.36572265625,5257.85595703125,2935.363525390625,6979.5029296875,5968.7763671875,5499.701171875,26249.78515625,26596.94921875,20738.8046875,24817.880859375,21475.40234375,13661.544921875,19357.689453125,96.24624633789062,14880.9794921875,16553.669921875,7420.841796875,41417.0859375,13556.3720703125,8864.6865234375
2015-03-04,18559.94921875,20694.283203125,12488.6376953125,41941.2734375,67834.40625,8892.6982421875,9178.6279296875,43909.87109375,12133.1796875,10767.7900390625,5251.10791015625,4986.69580078125,5105.974609375,2893.78369140625,7058.27197265625,5894.41650390625,5439.02783203125,25914.666015625,26047.123046875,20919.865234375,24829.791015625,21186.3671875,13671.0986328125,19449.57421875,98.16058349609375,14793.552734375,16595.541015625,7360.1865234375,41706.27734375,13593.138671875,8934.40625
2015-03-05,18472.603515625,20359.986328125,12249.857421875,42941.89453125,69131.3515625,9096.0166015625,9264.4267578125,44019.65234375,12835.232421875,10851.7041015625,5366.4296875,4986.69580078125,5172.921875,2930.41357421875,6740.20556640625,5961.33984375,5481.76123046875,26372.439453125,26588.986328125,22157.470703125,25169.369140625,20943.810546875,13709.3154296875,19509.1953125,99.09614562988281,15594.3291015625,16727.1484375,7238.8759765625,40834.72265625,13593.138671875,8959.3056640625
2015-03-06,18090.4921875,20053.94921875,11789.2763671875,43240.4765625,69345.2109375,9019.705078125,9253.4541015625,44209.2578125,12640.759765625,11037.302734375,5426.07861328125,4787.2275390625,5282.83642578125,2843.29296875,6726.24755859375,6097.474609375,5627.9072265625,26765.59765625,26701.54296875,22085.83984375,25120.71484375,21040.28125,13758.0390625,19410.994140625,100.17562866210938,15601.2841796875,16650.37890625,7493.4296875,40485.71484375,13442.1064453125,8968.2705078125
2015-03-09,17657.75390625,19926.28125,11189.8232421875,41792.4765625,67902.046875,8925.59375,9158.6748046875,43294.12890625,12448.228515625,10674.98828125,5338.5927734375,4418.212890625,5361.77392578125,2736.372314453125,6656.45166015625,5982.5048828125,5527.134765625,26587.08984375,25598.892578125,21746.591796875,24808.939453125,21100.828125,13422.708984375,19123.658203125,98.4340591430664,15563.5322265625,16428.0390625,7674.40087890625,40890.5703125,13334.7900390625,8765.080078125
