Date,ABI.BR,AD.AS,ADS.DE,AI.PA,AIR.PA,ALV.DE,ARGX.BR,ASML.AS,BAS.DE,BAYN.DE,BBVA.MC,BMW.DE,BN.PA,BNP.PA,CS.PA,DB1.DE,DBK.DE,DG.PA,DHL.DE,DTE.DE,EL.PA,ENEL.MI,ENI.MI,IBE.MC,IFX.DE,INGA.AS,ISP.MI,ITX.MC,MBG.DE,MC.PA,MUV2.DE,NDA-FI.HE,OR.PA,RHM.DE,RMS.PA,SAF.PA,SAN.MC,SAN.PA,SAP.DE,SGO.PA,SIE.DE,SU.PA,TTE.PA,UCG.MI,VOW.DE,WKL.AS
2015-01-02,73.00743103027344,9.864736557006836,50.1004638671875,53.456783294677734,34.70340347290039,80.5192642211914,7.519999980926514,79.71394348144531,39.671356201171875,81.73084259033203,4.285975933074951,50.73656463623047,38.55776596069336,27.44955062866211,10.602813720703125,46.329551696777344,18.93925666809082,31.252391815185547,24.55194854736328,8.567843437194824,76.34700012207031,2.05484676361084,7.224303245544434,3.538283586502075,7.753382682800293,5.774074554443359,1.192276120185852,16.95758056640625,27.5636043548584,105.72947692871094,99.41458129882812,4.308517932891846,113.30843353271484,29.793611526489258,265.069580078125,45.143062591552734,4.278737545013428,49.15077209472656,49.11564254760742,26.55203628540039,57.480674743652344,46.46080780029297,21.95223617553711,18.800588607788086,109.3750228881836,20.443452835083008
2015-01-05,71.37628936767578,9.635872840881348,48.61751174926758,51.801414489746094,34.807865142822266,78.5460433959961,7.699999809265137,78.2471694946289,37.974971771240234,78.98239135742188,4.098733901977539,49.04745864868164,37.56985092163086,26.11677360534668,10.208677291870117,46.235721588134766,18.166841506958008,30.189430236816406,23.689998626708984,8.304667472839355,75.38216400146484,1.9219515323638916,6.620213985443115,3.474421501159668,7.5894012451171875,5.507987976074219,1.1213421821594238,16.38364601135254,26.52921485900879,102.65898132324219,97.30387115478516,4.209934711456299,110.62828826904297,28.750764846801758,256.533203125,45.054622650146484,4.08339262008667,47.736976623535156,47.49700164794922,25.408105850219727,55.74571228027344,44.43807601928711,20.638460159301758,17.55528450012207,106.05596160888672,20.184574127197266
2015-01-06,70.6670913696289,9.794057846069336,48.493194580078125,51.36912155151367,35.614341735839844,78.63439178466797,7.699999809265137,75.72509002685547,37.96358871459961,79.88648986816406,4.032171249389648,49.47981643676758,37.45530700683594,25.433732986450195,10.09765338897705,46.01678466796875,17.934364318847656,29.859189987182617,23.826095581054688,8.207195281982422,74.43412780761719,1.9498708248138428,6.709341526031494,3.4605116844177246,7.396634578704834,5.507987976074219,1.105794906616211,16.18045425415039,26.705623626708984,101.48736572265625,96.91185760498047,4.209934711456299,110.62828826904297,28.82970428466797,248.52761840820312,45.3641357421875,4.012190818786621,47.89333724975586,46.42634201049805,25.00414276123047,55.696659088134766,44.50007247924805,20.60748863220215,17.313142776489258,106.91647338867188,20.225021362304688
2015-01-07,72.38490295410156,9.864736557006836,48.981590270996094,51.60107421875,36.5419921875,79.37065887451172,7.800000190734863,75.97550201416016,38.21406173706055,79.88648986816406,4.0440778732299805,49.74500274658203,37.891998291015625,25.008914947509766,10.205903053283691,47.14277267456055,18.0318546295166,30.959991455078125,23.8714599609375,8.441128730773926,75.50802612304688,1.946520209312439,6.744002819061279,3.4560859203338623,7.506538391113281,5.547901630401611,1.0921911001205444,16.369386672973633,26.914106369018555,101.56816101074219,96.76111602783203,4.149440765380859,111.24678802490234,28.750764846801758,254.1890411376953,46.1246223449707,4.037750720977783,48.40153503417969,46.257728576660156,24.936187744140625,56.052249908447266,44.77907943725586,21.07465934753418,17.143644332885742,107.43892669677734,20.176483154296875
2015-01-08,75.97026062011719,10.100334167480469,50.59773254394531,53.77308654785156,37.787227630615234,81.46170043945312,8.399999618530273,78.87321472167969,39.773826599121094,84.22618103027344,4.089535236358643,51.5321044921875,38.987308502197266,25.819683074951172,10.627793312072754,48.4798698425293,18.361818313598633,32.04358673095703,24.393169403076172,8.857009887695312,78.33537292480469,2.034745216369629,7.006434440612793,3.5243725776672363,7.752509593963623,5.734161853790283,1.15243661403656,17.050260543823242,28.09282684326172,104.75982666015625,99.1431884765625,4.198732376098633,115.28764343261719,29.843463897705078,255.5159454345703,47.504112243652344,4.172240734100342,50.44078826904297,47.269371032714844,25.94420623779297,57.885311126708984,46.623558044433594,21.887710571289062,17.970382690429688,111.58773040771484,20.64570426940918
2015-01-09,74.52034759521484,10.086870193481445,50.455657958984375,52.56583023071289,37.231468200683594,80.01859283447266,8.5,76.77151489257812,38.777626037597656,81.83934783935547,3.9607391357421875,50.82303237915039,38.09960174560547,24.9533748626709,10.389090538024902,48.1671028137207,17.930612564086914,32.03670120239258,24.012096405029297,8.623077392578125,76.72453308105469,1.9320026636123657,6.744002819061279,3.48327374458313,7.653074264526367,5.5319366455078125,1.105794906616211,16.73299789428711,27.832223892211914,103.18418884277344,97.3340072631836,4.122554779052734,113.63831329345703,29.415525436401367,250.16415405273438,47.725189208984375,3.584378480911255,48.785926818847656,45.97109603881836,25.54401969909668,56.702083587646484,45.56956481933594,21.198558807373047,16.984516143798828,109.06771850585938,20.621435165405273
2015-01-12,75.81266784667969,10.12725830078125,50.25141525268555,53.483131408691406,37.56575393676758,80.46035766601562,8.699999809265137,78.60491943359375,39.17041015625,83.3944091796875,3.992126703262329,51.105506896972656,38.80834197998047,25.153295516967773,10.402970314025879,48.4798698425293,17.930612564086914,32.772865295410156,24.148191452026367,8.840766906738281,78.62061309814453,1.9241851568222046,6.778663158416748,3.48327374458313,7.726343154907227,5.547901630401611,1.1300874948501587,16.839941024780273,28.465686798095703,106.6182861328125,98.32907104492188,4.133758068084717,116.19477081298828,29.145469665527344,252.11024475097656,47.76056671142578,3.6817471981048584,49.47002029418945,48.095558166503906,25.66482925415039,57.28450393676758,46.158565521240234,21.309541702270508,17.185155868530273,109.49794006347656,20.6861515045166
2015-01-13,76.78189849853516,10.399877548217773,49.99390411376953,54.01032638549805,38.07972717285156,82.08016967773438,8.800000190734863,79.62447357177734,40.43416213989258,85.6365737915039,4.048947334289551,52.2469482421875,38.994468688964844,25.736379623413086,10.638895988464355,49.02722930908203,18.500553131103516,33.209739685058594,24.674434661865234,9.003220558166504,79.19951629638672,1.978906273841858,6.887596130371094,3.5035059452056885,7.81182336807251,5.6995697021484375,1.164096713066101,17.346134185791016,28.9748592376709,107.42632293701172,99.50504302978516,4.160642623901367,117.6379165649414,29.498620986938477,256.31201171875,47.93741226196289,3.7426021099090576,50.056400299072266,48.45806884765625,26.05746078491211,57.53585433959961,47.631046295166016,21.52635955810547,17.589876174926758,112.2638168334961,20.783235549926758
2015-01-14,75.70233917236328,10.38978099822998,49.239112854003906,53.29862594604492,37.724544525146484,81.22608184814453,8.600000381469727,78.16667938232422,40.02998352050781,84.51548767089844,4.0029497146606445,51.18044662475586,38.37879943847656,24.9533748626709,10.436275482177734,48.190555572509766,18.14059066772461,32.65591049194336,24.388629913330078,8.931739807128906,78.36892700195312,1.940936803817749,6.684586048126221,3.464937448501587,7.842352867126465,5.598457336425781,1.1621533632278442,17.517244338989258,28.58596420288086,107.22429656982422,98.8115005493164,4.109111309051514,116.77204895019531,29.228565216064453,252.242919921875,47.7075080871582,3.708317518234253,49.3397216796875,47.606590270996094,25.328821182250977,56.85535430908203,46.70880126953125,21.069496154785156,17.36503028869629,110.66576385498047,21.021888732910156
2015-01-15,78.01116943359375,10.463825225830078,50.091583251953125,54.458438873291016,38.668907165527344,82.84589385986328,8.649999618530273,78.64070892333984,40.95786666870117,87.15547180175781,4.052193641662598,52.500614166259766,39.194915771484375,25.591997146606445,10.819308280944824,49.34782409667969,18.560546875,33.161590576171875,24.79692268371582,9.042208671569824,81.35568237304688,2.0202271938323975,6.932161808013916,3.4933903217315674,7.920855522155762,5.702230930328369,1.1961630582809448,17.417428970336914,29.239473342895508,109.1231460571289,101.46497344970703,4.227859973907471,120.4830093383789,29.922399520874023,252.81785583496094,48.50336837768555,3.7581868171691895,50.71443557739258,48.727840423583984,25.208011627197266,58.02630615234375,48.19679260253906,21.65541648864746,17.572582244873047,112.57115173339844,21.050207138061523
