Date,ALD.AX,ALL.AX,ANZ.AX,APA.AX,ASX.AX,AZJ.AX,BHP.AX,BSL.AX,BXB.AX,CAR.AX,CBA.AX,CPU.AX,CSL.AX,FMG.AX,GMG.AX,IAG.AX,IGO.AX,ILU.AX,JHX.AX,LYC.AX,MIN.AX,MQG.AX,NAB.AX,NST.AX,NWS.AX,ORG.AX,ORI.AX,QAN.AX,QBE.AX,REA.AX,RIO.AX,RMD.AX,S32.AX,SCG.AX,SEK.AX,SHL.AX,STO.AX,TCL.AX,TLS.AX,TWE.AX,WBC.AX,WDS.AX,WES.AX,WOW.AX,XRO.AX
2015-05-18,21.17868995666504,6.620043754577637,17.820690155029297,4.916660308837891,28.25482940673828,2.8587708473205566,13.11221981048584,2.7310845851898193,7.979172229766846,7.036679744720459,50.73067092895508,8.867799758911133,75.48368835449219,0.8329181671142578,4.947590351104736,3.6352884769439697,4.669374942779541,3.009565830230713,12.612527847290039,0.44385600090026855,5.027797222137451,51.843727111816406,18.347970962524414,1.7014620304107666,17.893098831176758,7.530908107757568,15.5940580368042,3.111727714538574,9.585652351379395,37.40800094604492,28.38740348815918,6.486086368560791,1.421354055404663,2.2695088386535645,12.664934158325195,13.333454132080078,5.12657356262207,6.2331366539001465,3.5283381938934326,3.9289093017578125,18.179832458496094,18.20076560974121,18.00596809387207,16.58863067626953,18.81999969482422
2015-05-19,21.30721092224121,6.560708522796631,17.66611099243164,4.883365631103516,27.738788604736328,2.853240966796875,12.894625663757324,2.683725118637085,7.913589954376221,7.043707847595215,50.63898849487305,8.831457138061523,75.75761413574219,0.8074578046798706,4.931707382202148,3.539454936981201,4.572765827178955,2.9580328464508057,12.512889862060547,0.45372000336647034,4.896826267242432,51.44597244262695,18.169889450073242,1.6935852766036987,18.14912223815918,7.355906009674072,15.439297676086426,3.085505485534668,9.396106719970703,36.927284240722656,28.38740348815918,6.656444549560547,1.6154899597167969,2.2463502883911133,12.63305377960205,13.30583667755127,5.057802677154541,6.183469772338867,3.4997923374176025,3.899256467819214,18.21368408203125,18.079710006713867,17.686311721801758,16.157381057739258,18.719999313354492
2015-05-20,21.25580406188965,6.569186210632324,17.605384826660156,4.983253002166748,27.78569793701172,2.853240966796875,12.542121887207031,2.6047918796539307,7.95002555847168,7.205389976501465,50.418949127197266,8.918682098388672,76.76770782470703,0.7528996467590332,4.963474273681641,3.552231550216675,4.572765827178955,2.9099340438842773,12.63744068145752,0.44385600090026855,4.816789150238037,51.56334686279297,18.110525131225586,1.6778310537338257,18.32928466796875,7.192570209503174,15.483515739440918,3.146690607070923,9.477341651916504,36.82240676879883,27.685747146606445,6.80772590637207,1.6362907886505127,2.2637195587158203,12.9199857711792,13.32655143737793,4.863993167877197,6.344886302947998,3.4997923374176025,3.9289093017578125,18.2023983001709,18.06917953491211,17.573017120361328,16.186134338378906,18.68000030517578
2015-05-21,21.686315536499023,6.713284015655518,17.787567138671875,4.961056232452393,27.745498657226562,2.8698301315307617,12.724900245666504,2.6205785274505615,8.139485359191895,7.310836315155029,51.072933197021484,8.97683048248291,78.44550323486328,0.7710854411125183,5.011122703552246,3.539454936981201,4.693526268005371,2.9992592334747314,14.10710334777832,0.45372000336647034,5.107834339141846,52.000213623046875,18.013389587402344,1.6778310537338257,18.281875610351562,7.338404655456543,15.660383224487305,3.1029865741729736,9.517956733703613,36.656333923339844,28.11563491821289,6.855000972747803,1.6432240009307861,2.2521402835845947,13.230831146240234,13.651082992553711,4.945268154144287,6.394552707672119,3.5283381938934326,3.943734645843506,18.422452926635742,18.3533992767334,17.544692993164062,16.306882858276367,18.8799991607666
2015-05-22,21.686315536499023,6.679378032684326,17.69371795654297,4.927759170532227,27.839317321777344,2.9251255989074707,12.729254722595215,2.628472328186035,8.212355613708496,7.310836315155029,50.797882080078125,8.940485954284668,78.00038146972656,0.767448365688324,5.066713809967041,3.5458433628082275,4.7096266746521,3.0233092308044434,13.982556343078613,0.44385600090026855,5.151490688323975,51.9284782409668,17.932445526123047,1.7014620304107666,18.27239418029785,7.466740608215332,15.992013931274414,3.015578508377075,9.4638032913208,36.70878601074219,28.041515350341797,6.855000972747803,1.601623296737671,2.2868778705596924,13.294593811035156,13.644182205200195,5.057802677154541,6.363511085510254,3.5397567749023438,3.89184308052063,18.37166976928711,18.79026222229004,17.53255271911621,16.20338249206543,19.280000686645508
2015-05-25,21.97547149658203,6.670903205871582,17.842777252197266,5.033195495605469,28.12749671936035,2.9583027362823486,12.829346656799316,2.6363651752471924,8.32894515991211,7.409253120422363,51.34186935424805,8.97683048248291,79.43848419189453,0.7892717719078064,5.090538501739502,3.6097328662872314,4.146082878112793,3.0267438888549805,14.322985649108887,0.44385600090026855,5.202423095703125,52.606605529785156,18.094335556030273,1.7487250566482544,18.41462516784668,7.4725728034973145,16.139406204223633,3.050541877746582,9.660120010375977,36.20185852050781,28.47635269165039,6.921188831329346,1.608556866645813,2.281087875366211,13.342416763305664,13.733942031860352,5.170337200164795,6.512510299682617,3.5854318141937256,3.9659736156463623,18.597368240356445,19.106061935424805,17.76319122314453,16.37588119506836,18.989999771118164
2015-05-26,21.891937255859375,7.10319709777832,18.047039031982422,5.055392742156982,28.120786666870117,2.9361846446990967,12.977310180664062,2.7863378524780273,8.32894515991211,7.61311149597168,51.73304748535156,8.991368293762207,80.03770446777344,0.8729270100593567,5.122305393218994,3.6225101947784424,3.9850687980651855,2.940854072570801,14.422622680664062,0.45372000336647034,5.391602516174316,52.57400131225586,18.347970962524414,1.7802338600158691,18.42410659790039,7.571741104125977,16.16888427734375,3.085505485534668,9.748122215270996,36.27177429199219,28.80246353149414,6.987374305725098,1.594689965248108,2.304246425628662,13.446033477783203,13.740846633911133,5.220353126525879,6.518717288970947,3.591139554977417,3.980799436569214,18.986692428588867,19.295547485351562,17.83602523803711,16.404632568359375,18.950000762939453
2015-05-27,21.705595016479492,6.8828125,17.953184127807617,5.088688373565674,27.765600204467773,2.930654764175415,12.768418312072754,2.7942311763763428,8.34351921081543,7.388159275054932,51.421321868896484,9.165817260742188,79.11319732666016,0.8583782315254211,5.082597732543945,3.6097328662872314,3.896512508392334,3.0130014419555664,14.596990585327148,0.44385600090026855,5.36977481842041,52.261016845703125,18.110525131225586,1.8668819665908813,18.31980323791504,7.495906829833984,16.10993003845215,3.0592827796936035,9.809048652648926,35.70366287231445,28.318227767944336,6.968463897705078,1.5600229501724243,2.2926669120788574,13.350386619567871,13.740846633911133,5.145329475402832,6.363511085510254,3.545466423034668,3.8547773361206055,18.732789993286133,19.290281295776367,17.560876846313477,16.065387725830078,19.0
2015-05-28,21.73129653930664,6.696331977844238,18.0635986328125,5.105336666107178,27.765600204467773,2.9030075073242188,12.707491874694824,2.691617488861084,8.285222053527832,7.353012561798096,51.03627014160156,9.209427833557129,79.26728057861328,0.8838387131690979,5.122305393218994,3.6033432483673096,3.8401565551757812,2.9992592334747314,14.489048957824707,0.43399301171302795,5.406154632568359,52.81525802612305,18.04576873779297,1.811741828918457,18.51893424987793,7.478407859802246,16.200010299682617,3.015578508377075,9.869975090026855,34.62861633300781,28.486230850219727,7.167021751403809,1.511488914489746,2.275298833847046,13.4619722366333,13.775373458862305,5.107818603515625,6.295220375061035,3.5112106800079346,3.9289093017578125,18.68764305114746,19.169227600097656,17.641803741455078,16.10563850402832,18.950000762939453
2015-05-29,21.654186248779297,6.679205894470215,18.32307243347168,5.171927452087402,27.89963150024414,2.952773332595825,12.877215385437012,2.770551919937134,8.336231231689453,7.345982551574707,52.008094787597656,9.362070083618164,80.03770446777344,0.8802016377449036,5.201720714569092,3.616122007369995,3.9045631885528564,3.0920193195343018,14.66341495513916,0.42412900924682617,5.551677703857422,53.304298400878906,18.520658493041992,1.8590048551559448,18.793920516967773,7.764244556427002,16.432727813720703,3.0767643451690674,9.91736125946045,34.147911071777344,28.757997512817383,7.280484676361084,1.5184226036071777,2.2868778705596924,13.485886573791504,13.865138053894043,5.157833099365234,6.313844680786133,3.5511748790740967,3.9882125854492188,18.9359130859375,19.279756546020508,17.666078567504883,16.099884033203125,19.139999389648438
