Date,ABEV3.SA,ALPA4.SA,AMER3.SA,B3SA3.SA,BBAS3.SA,BBDC3.SA,BBDC4.SA,BBSE3.SA,BEEF3.SA,BRAP4.SA,BRKM5.SA,CMIG4.SA,COGN3.SA,CPFE3.SA,CSAN3.SA,CSNA3.SA,CVCB3.SA,CYRE3.SA,DXCO3.SA,ECOR3.SA,EGIE3.SA,ENEV3.SA,ENGI11.SA,EQTL3.SA,EZTC3.SA,FLRY3.SA,GGBR4.SA,GOAU4.SA,HYPE3.SA,ITSA4.SA,ITUB4.SA,JHSF3.SA,KLBN11.SA,LREN3.SA,MGLU3.SA,MRVE3.SA,MULT3.SA,PCAR3.SA,PETR3.SA,PETR4.SA,PRIO3.SA,QUAL3.SA,RADL3.SA,RAIL3.SA,RENT3.SA,SANB11.SA,SBSP3.SA,SUZB3.SA,TAEE11.SA,TIMS3.SA,TOTS3.SA,UGPA3.SA,USIM5.SA,VALE3.SA,VIVT3.SA,WEGE3.SA,YDUQ3.SA
2015-04-02,11.472989082336426,5.545316696166992,2053.176513671875,2.630018472671509,6.041727542877197,7.953851222991943,7.790313243865967,13.811131477355957,5.6368327140808105,1.0864590406417847,7.4222517013549805,2.498262882232666,8.239889144897461,12.349393844604492,5.324373245239258,3.386232852935791,10.36546516418457,8.130725860595703,4.464683532714844,6.811651229858398,10.293614387512207,2.8519389629364014,7.079441547393799,5.035589218139648,7.3355560302734375,4.476995944976807,4.907480239868164,4.374762535095215,14.31517505645752,2.729738473892212,9.522196769714355,1.305889368057251,10.045140266418457,9.478251457214355,1.406750202178955,5.1669769287109375,13.808194160461426,6.56793212890625,2.9866583347320557,2.8106839656829834,0.48621904850006104,14.426429748535156,5.04927396774292,16.221315383911133,8.790825843811035,6.90993595123291,2.648064613342285,16.612255096435547,6.707328796386719,6.006039619445801,10.493685722351074,10.777427673339844,3.8959195613861084,8.444170951843262,9.952723503112793,4.997583389282227,12.793509483337402
2015-04-06,11.710357666015625,5.675462245941162,2121.64697265625,2.6059517860412598,6.257851600646973,7.9613518714904785,7.86616325378418,14.420148849487305,5.802622318267822,1.0854357481002808,7.630351543426514,2.532560110092163,8.64885425567627,12.510237693786621,5.285817623138428,3.488481044769287,10.80190658569336,8.277915000915527,4.489964962005615,6.8565144538879395,10.421574592590332,2.9945359230041504,7.079441547393799,5.012131214141846,7.494635581970215,4.488504886627197,4.887929916381836,4.374762535095215,14.652567863464355,2.779086112976074,9.63848876953125,1.305889368057251,10.17811393737793,9.54649829864502,1.4041922092437744,5.297237396240234,14.258055686950684,6.56793212890625,2.981022834777832,2.8159420490264893,0.4832238554954529,14.659219741821289,5.069283485412598,16.409934997558594,9.092340469360352,7.110424041748047,2.735363245010376,16.612255096435547,6.697747230529785,5.891746997833252,10.493685722351074,10.895536422729492,3.9348793029785156,8.505154609680176,9.783951759338379,5.009955883026123,13.101466178894043
2015-04-07,11.832086563110352,5.924436092376709,1979.078369140625,2.5403096675872803,6.061374187469482,7.906320095062256,7.909148216247559,13.943354606628418,5.915660858154297,1.1304489374160767,7.67449426651001,2.518118381500244,8.717016220092773,12.444706916809082,5.381289005279541,3.4403648376464844,10.707343101501465,8.242588996887207,4.368614673614502,6.789220333099365,10.228212356567383,2.9945359230041504,7.079441547393799,4.894843578338623,7.296663761138916,4.569067478179932,4.83416223526001,4.342294692993164,14.776515007019043,2.7738921642303467,9.64365291595459,1.3185062408447266,10.056221008300781,9.524089813232422,1.3888460397720337,5.33445405960083,14.03189754486084,6.56793212890625,3.051462411880493,2.8711564540863037,0.46425431966781616,14.401927947998047,5.107638835906982,14.900976181030273,8.814382553100586,6.989197731018066,2.7159409523010254,16.612255096435547,6.707328796386719,5.948894023895264,10.394148826599121,10.73641586303711,3.7400827407836914,8.913290023803711,9.480645179748535,5.031602382659912,13.088075637817383
2015-04-08,11.826001167297363,5.997996807098389,2072.87353515625,2.6212661266326904,5.980326175689697,7.96885871887207,7.90662145614624,13.542683601379395,5.953339576721191,1.1222646236419678,7.8384528160095215,2.4441094398498535,8.944220542907715,12.444706916809082,5.427189826965332,3.37420392036438,11.347456932067871,8.283801078796387,4.424233913421631,6.766788005828857,10.123002052307129,3.5649240016937256,7.079441547393799,4.879204750061035,7.264847755432129,4.6323676109313965,4.72174072265625,4.2611308097839355,14.831594467163086,2.7686967849731445,9.690162658691406,1.2995805740356445,10.111625671386719,9.531218528747559,1.2942097187042236,5.396482467651367,14.132688522338867,6.56793212890625,2.9753878116607666,2.779132604598999,0.4682479202747345,14.132390022277832,5.192680835723877,14.712356567382812,9.04287052154541,7.166375160217285,2.671417236328125,16.612255096435547,6.707328796386719,5.914606094360352,10.402684211730957,10.859448432922363,3.5842461585998535,8.796010971069336,9.541799545288086,5.025417804718018,13.422809600830078
2015-04-09,11.765134811401367,5.7433648109436035,2086.94287109375,2.6212661266326904,5.761744499206543,7.803777694702148,7.7650275230407715,13.602782249450684,5.991018295288086,1.1099882125854492,7.605128288269043,2.5127038955688477,9.01237964630127,12.510237693786621,5.350078105926514,3.3982620239257812,11.812993049621582,8.054187774658203,4.297826290130615,6.744358062744141,10.23105239868164,3.5649240016937256,7.6103997230529785,4.899534225463867,7.356762409210205,4.747457981109619,4.741291522979736,4.244898796081543,14.838479995727539,2.71675181388855,9.496360778808594,1.305889368057251,10.078386306762695,9.549553871154785,1.2814208269119263,5.415091514587402,13.872106552124023,6.56793212890625,3.2515125274658203,3.0446887016296387,0.4562671482563019,14.083385467529297,5.154329299926758,15.37252426147461,9.134736061096191,6.951898574829102,2.6565754413604736,16.612255096435547,6.694553375244141,5.914606094360352,10.337274551391602,10.870930671691895,3.607621669769287,8.819466590881348,9.661649703979492,4.960475444793701,13.703986167907715
2015-04-10,11.880780220031738,5.7546796798706055,2147.909912109375,2.6453347206115723,5.968046188354492,7.86630916595459,7.7953643798828125,14.187763214111328,6.179415702819824,1.094642996788025,7.748714923858643,2.5054829120635986,9.050249099731445,12.367264747619629,5.397812366485596,3.4403648376464844,11.529306411743164,8.065961837768555,4.363558769226074,6.804174423217773,10.179869651794434,3.5649240016937256,7.6103997230529785,4.894843578338623,7.250707149505615,4.776230335235596,4.687526702880859,4.2083740234375,14.721426963806152,2.734933376312256,9.566130638122559,1.3311235904693604,10.078386306762695,9.524089813232422,1.296768069267273,5.328250408172607,14.282644271850586,6.56793212890625,3.3332226276397705,3.1051623821258545,0.463255912065506,13.936361312866211,5.095964431762695,15.74976634979248,9.139450073242188,7.082451820373535,2.6046314239501953,16.612255096435547,6.7392683029174805,5.983180522918701,10.303149223327637,10.785628318786621,3.7790420055389404,8.641200065612793,9.604272842407227,4.985214710235596,13.590178489685059
2015-04-13,11.813827514648438,5.732046127319336,2364.57666015625,2.658463478088379,5.95576810836792,7.853801727294922,7.815596103668213,14.151703834533691,6.1115922927856445,1.0792975425720215,7.82175350189209,2.6047637462615967,8.671575546264648,12.21237564086914,5.43453311920166,3.4163055419921875,11.711158752441406,7.906998634338379,4.3231072425842285,6.8415608406066895,10.15143871307373,3.5649240016937256,7.6103997230529785,4.893279075622559,7.32494592666626,4.7445807456970215,4.741291522979736,4.216490745544434,14.652567863464355,2.732335329055786,9.491193771362305,1.3626670837402344,10.045140266418457,9.522052764892578,1.2890948057174683,5.291034698486328,14.110562324523926,6.56793212890625,3.4994618892669678,3.2261078357696533,0.4562671482563019,13.97312068939209,5.159330368041992,16.032695770263672,8.962782859802246,6.993862152099609,2.615020513534546,16.612255096435547,6.7041335105896,5.943180561065674,10.28039836883545,10.921781539916992,3.763458013534546,8.55675983428955,9.59204387664795,4.975938320159912,13.021130561828613
2015-04-14,11.637320518493652,5.760339260101318,2282.974853515625,2.640958786010742,5.911558151245117,7.773754596710205,7.924317836761475,13.983418464660645,6.036234378814697,1.0997577905654907,7.987749099731445,2.5361695289611816,8.224743843078613,12.1587553024292,5.361093044281006,3.5606565475463867,11.783897399902344,7.695045471191406,4.3433332443237305,6.759311676025391,10.268022537231445,4.135311126708984,7.6103997230529785,4.9730353355407715,7.346157073974609,4.718684196472168,4.770617961883545,4.3098297119140625,14.50108528137207,2.719348192214966,9.491193771362305,1.3626670837402344,10.067304611206055,9.52918529510498,1.2865369319915771,5.222801685333252,13.982731819152832,6.56793212890625,3.507913827896118,3.27606463432312,0.45027679204940796,14.083385467529297,5.4177985191345215,16.032695770263672,9.04993724822998,7.0544753074646,2.5556557178497314,16.612255096435547,6.68816614151001,5.817457675933838,10.408370971679688,10.905378341674805,3.8257930278778076,8.796010971069336,9.396286964416504,5.025417804718018,12.760035514831543
2015-04-15,11.649493217468262,5.7546796798706055,2472.441162109375,2.7219161987304688,6.147332191467285,7.803777694702148,8.01028823852539,14.4281644821167,6.028697967529297,1.1110113859176636,8.233424186706543,2.557831048965454,8.111143112182617,12.391091346740723,5.471251964569092,3.8192856311798096,11.84208869934082,7.7480340003967285,4.414120674133301,6.781744003295898,10.24527645111084,3.8501179218292236,7.6103997230529785,4.933939456939697,7.32494592666626,4.718684196472168,4.887929916381836,4.415342807769775,14.432229042053223,2.7609055042266846,9.62814998626709,1.3879014253616333,10.222442626953125,9.676881790161133,1.296768069267273,5.33445405960083,14.068777084350586,6.56793212890625,3.784038782119751,3.507439374923706,0.4602607488632202,14.610204696655273,5.316080093383789,15.844074249267578,9.04522705078125,7.091775417327881,2.644702672958374,16.612255096435547,6.726491928100586,5.823171138763428,10.436808586120605,11.0464506149292,4.10629940032959,9.014967918395996,9.420751571655273,5.019232749938965,13.24205493927002
2015-04-16,11.62514877319336,5.884826183319092,2438.6748046875,2.689519166946411,6.333987712860107,7.793767929077148,8.01282024383545,14.500285148620605,5.915660858154297,1.094642996788025,7.914710521697998,2.595737934112549,7.9899678230285645,12.456624031066895,5.373946189880371,3.933563232421875,11.941482543945312,7.73037052154541,4.247264862060547,6.946240425109863,10.219682693481445,3.8501179218292236,7.6103997230529785,4.971470832824707,7.466357231140137,4.805001735687256,4.716851711273193,4.171850204467773,14.163697242736816,2.7479186058044434,9.555793762207031,1.3248151540756226,10.167036056518555,9.534272193908691,1.330018162727356,5.272425651550293,13.840150833129883,6.56793212890625,3.6826064586639404,3.4127862453460693,0.44428637623786926,14.561203002929688,5.302739143371582,16.032695770263672,9.057001113891602,7.110424041748047,2.686258316040039,16.612255096435547,6.7360711097717285,5.800313472747803,10.180863380432129,10.985757827758789,4.269927978515625,8.753241539001465,9.543097496032715,4.929548263549805,13.288915634155273
