Date,AAL.L,ABF.L,ADM.L,ALW.L,ANTO.L,AUTO.L,AV.L,AZN.L,BA.L,BAB.L,BARC.L,BATS.L,BBOX.L,BEZ.L,BGEO.L,BKG.L,BLND.L,BNZL.L,BP.L,BRBY.L,BTRW.L,CCH.L,CNA.L,CPG.L,CRDA.L,DCC.L,DGE.L,DPLM.L,ENT.L,EXPN.L,FCIT.L,FRES.L,GAW.L,GLEN.L,GSK.L,HLMA.L,HSBA.L,HSX.L,HWDN.L,IAG.L,ICG.L,IGG.L,IHG.L,III.L,IMB.L,IMI.L,INF.L,ITRK.L,JD.L,KGF.L,LAND.L,LGEN.L,LLOY.L,LMP.L,LSEG.L,MKS.L,MNDI.L,MRO.L,NG.L,NWG.L,NXT.L,PCT.L,PRU.L,PSN.L,PSON.L,REL.L,RIO.L,RKT.L,RMV.L,RR.L,RTO.L,SBRY.L,SDLF.L,SDR.L,SGE.L,SGRO.L,SHEL.L,SMIN.L,SMT.L,SN.L,SPX.L,SSE.L,STAN.L,STJ.L,SVT.L,TSCO.L,ULVR.L,UU.L,VOD.L,WEIR.L,WTB.L
2015-03-19,1016.3720092773438,3054.3115234375,1507.7867431640625,522.2665405273438,692.956298828125,255.70339965820312,554.159423828125,4769.7763671875,544.8173217773438,983.9512939453125,252.04139709472656,3642.561279296875,111.70215606689453,290.9151611328125,1768.8265380859375,2708.883056640625,857.6017456054688,1863.5755615234375,438.0796813964844,1865.2410888671875,525.203125,1171.75341796875,255.41188049316406,9.893438339233398,3019.249755859375,4147.01025390625,1934.734375,863.8031005859375,454.1029052734375,1127.96728515625,457.1221618652344,677.2994384765625,516.2962646484375,284.4266357421875,1631.6058349609375,722.7269287109375,573.5972900390625,912.4716186523438,467.4163818359375,579.0691528320312,634.9182739257812,743.1470336914062,34.6736946105957,493.9084777832031,3131.214599609375,1327.91796875,533.2750244140625,2574.96533203125,19.50892448425293,372.9004821777344,1349.9344482421875,290.5640869140625,79.12939453125,163.421142578125,2564.338623046875,503.14251708984375,1472.9437255859375,129.36492919921875,963.4541625976562,373.5251770019531,7286.90185546875,59.650001525878906,1446.9429931640625,1766.0716552734375,1487.4068603515625,1171.0921630859375,2822.856689453125,6215.89306640625,299.5553894042969,336.84832763671875,140.75953674316406,268.5342712402344,652.1137084960938,552.2940063476562,479.9156799316406,417.1903991699219,2030.53271484375,1202.1951904296875,269.5195007324219,1148.0052490234375,3530.355224609375,1522.79931640625,997.4491577148438,962.6624145507812,2047.78125,306.0026550292969,3086.346923828125,946.343994140625,224.32579040527344,1775.0272216796875,4650.3408203125
2015-03-20,1069.32861328125,3031.36181640625,1530.6319580078125,522.2665405273438,712.3992919921875,265.1924133300781,558.07568359375,4831.072265625,543.3233032226562,993.431396484375,254.53387451171875,3631.6376953125,111.9509048461914,293.0088195800781,1737.968994140625,2748.142578125,862.5765380859375,1873.5521240234375,448.1150207519531,1871.2257080078125,528.1844482421875,1196.6630859375,254.61557006835938,9.893438339233398,3032.4716796875,4143.021484375,1918.283447265625,848.3336181640625,452.6075134277344,1140.944091796875,463.0108337402344,704.7307739257812,511.322265625,297.9137878417969,1636.61083984375,722.7269287109375,581.1511840820312,929.4743041992188,461.2333984375,591.5276489257812,632.3109741210938,744.6386108398438,34.68655014038086,494.9049072265625,3081.5927734375,1333.8995361328125,530.978271484375,2563.990966796875,19.55290412902832,368.5180969238281,1354.179443359375,290.9608459472656,80.25409698486328,162.6254425048828,2579.31689453125,508.8223876953125,1475.132568359375,128.35940551757812,964.4304809570312,381.8853454589844,7247.0556640625,60.0,1443.226806640625,1677.6685791015625,1486.4110107421875,1170.0943603515625,2891.307861328125,6184.76171875,297.75811767578125,338.5626220703125,141.0590362548828,270.6229553222656,673.3451538085938,555.8472900390625,479.1177673339844,417.47613525390625,2052.409423828125,1200.2015380859375,268.5201721191406,1145.0130615234375,3554.15283203125,1544.667236328125,1017.3887329101562,974.614501953125,2058.732421875,308.58624267578125,3089.542724609375,944.3536987304688,226.65940856933594,1836.888916015625,4654.6259765625
2015-03-23,1082.4461669921875,3004.42041015625,1546.5245361328125,518.2759399414062,724.8623046875,264.69305419921875,552.6908569335938,4824.095703125,537.8453369140625,990.437744140625,256.3782653808594,3677.815185546875,111.45335388183594,298.0933532714844,1738.9644775390625,2756.40771484375,864.06884765625,1863.5755615234375,445.03485107421875,1823.3482666015625,530.1717529296875,1189.6884765625,257.6016845703125,9.811197280883789,3021.471923828125,4134.04736328125,1933.7373046875,838.3530883789062,458.5889892578125,1145.93505859375,464.10882568359375,707.72314453125,513.3118896484375,305.67779541015625,1617.091552734375,719.730224609375,575.1876831054688,943.6431274414062,460.6351013183594,590.0327758789062,641.8280639648438,742.1530151367188,34.21086120605469,503.1748962402344,3141.1396484375,1334.8963623046875,531.4375610351562,2572.970703125,19.76078224182129,371.2073059082031,1353.118408203125,290.46484375,80.10482025146484,163.421142578125,2561.343017578125,507.40252685546875,1466.3779296875,126.82926940917969,967.2505493164062,379.5273742675781,7192.2666015625,60.04999923706055,1438.2713623046875,1663.76220703125,1485.41455078125,1167.1019287109375,2919.08447265625,6224.19384765625,297.6582336425781,338.3912048339844,140.55990600585938,271.4185791015625,669.5538940429688,561.261962890625,477.421875,418.3335876464844,2082.240966796875,1206.1826171875,270.4189453125,1159.9732666015625,3573.81201171875,1558.5828857421875,1083.3790283203125,970.630615234375,2072.669921875,310.7917175292969,3094.868896484375,953.3096923828125,226.0635986328125,1796.9781494140625,4586.05029296875
2015-03-24,1062.5264892578125,2918.6083984375,1559.4371337890625,515.7819213867188,721.8712768554688,264.69305419921875,559.54443359375,4816.12353515625,540.3352661132812,993.9304809570312,257.6744079589844,3638.589111328125,112.44847869873047,297.0964660644531,1698.1531982421875,2802.8984375,871.033203125,1867.5660400390625,441.308837890625,1847.286865234375,538.6188354492188,1216.5909423828125,255.41188049316406,9.876988410949707,3032.4716796875,4113.10791015625,1931.743408203125,822.8834838867188,456.09674072265625,1153.9207763671875,463.70947265625,706.226806640625,487.4473571777344,299.9544372558594,1609.5841064453125,722.7269287109375,574.7898559570312,939.1090698242188,464.52435302734375,611.461181640625,641.0457153320312,740.66162109375,34.146583557128906,499.68756103515625,3160.98876953125,1329.912109375,535.5715942382812,2530.07080078125,19.740793228149414,365.729248046875,1364.7919921875,292.0520324707031,80.21428680419922,164.31634521484375,2571.32861328125,513.0823364257812,1465.2838134765625,128.2719268798828,967.3587036132812,377.2766418457031,7197.2470703125,59.75,1439.9232177734375,1704.487548828125,1502.3507080078125,1184.06005859375,2861.050048828125,6165.04443359375,299.9548034667969,338.9054870605469,141.55819702148438,270.92120361328125,671.0704345703125,565.15380859375,480.5142822265625,422.33392333984375,2066.82763671875,1209.1729736328125,270.818603515625,1164.9605712890625,3554.15283203125,1546.655029296875,1063.439453125,986.0689697265625,2087.601806640625,307.0739440917969,3097.0,951.81689453125,225.36849975585938,1787.9979248046875,4573.1923828125
2015-03-25,1073.2152099609375,2904.638427734375,1534.60498046875,511.791259765625,726.3578491210938,260.4479675292969,552.201171875,4745.8544921875,539.3392333984375,980.4585571289062,251.14407348632812,3614.25927734375,112.19971466064453,295.20220947265625,1714.079345703125,2803.931640625,862.0790405273438,1840.6302490234375,445.48193359375,1819.358154296875,536.6314086914062,1215.594482421875,258.9952087402344,9.753629684448242,3045.588134765625,4127.06787109375,1917.784912109375,816.3961791992188,459.58599853515625,1138.9476318359375,459.916748046875,709.2194213867188,492.4212341308594,300.651123046875,1597.07177734375,714.2359619140625,579.9584350585938,937.4088134765625,461.2333984375,605.4812622070312,637.9166870117188,728.7313232421875,33.36233901977539,497.9936828613281,3134.193115234375,1321.9365234375,527.3037109375,2506.127197265625,19.788768768310547,362.8409729003906,1350.9954833984375,288.6792297363281,80.12472534179688,162.92379760742188,2534.38134765625,510.7156677246094,1466.3779296875,127.09153747558594,970.2872924804688,377.59808349609375,7197.2470703125,59.29999923706055,1438.684326171875,1686.6083984375,1492.388427734375,1167.1019287109375,2902.7158203125,6115.234375,296.06060791015625,336.3341064453125,138.8628387451172,266.74407958984375,669.5538940429688,565.6612548828125,467.34674072265625,419.190673828125,2084.726806640625,1208.176025390625,266.82135009765625,1158.976318359375,3571.74267578125,1553.61328125,1047.7725830078125,975.1126708984375,2080.63330078125,301.654541015625,3068.234619140625,953.3096923828125,222.6873321533203,1764.0517578125,4547.474609375
2015-03-26,1046.0081787109375,2842.774658203125,1528.6453857421875,508.2995910644531,722.3696899414062,256.7022399902344,541.9209594726562,4675.5869140625,530.375244140625,976.9658203125,249.2498016357422,3545.2412109375,113.4436264038086,291.1146240234375,1681.231201171875,2768.804931640625,841.2535400390625,1827.660888671875,443.24639892578125,1782.452392578125,533.6499633789062,1206.627197265625,257.2034606933594,9.539807319641113,2993.017333984375,4056.2724609375,1888.8714599609375,816.3961791992188,468.05987548828125,1128.965576171875,448.6647644042969,708.720703125,505.7265625,295.82366943359375,1576.5518798828125,701.2498168945312,578.1692504882812,846.9996948242188,449.2663269042969,585.0493774414062,630.4856567382812,723.263671875,33.028076171875,486.8341369628906,3079.607666015625,1304.988037109375,517.6580200195312,2471.208740234375,19.213096618652344,357.26336669921875,1337.1993408203125,281.8341979980469,79.35832214355469,161.6307830810547,2391.585205078125,504.08917236328125,1431.3599853515625,125.95480346679688,956.729736328125,375.45452880859375,7092.65185546875,57.95000076293945,1391.857666015625,1686.6083984375,1473.45947265625,1160.119384765625,2854.10595703125,6083.06591796875,290.7684631347656,329.8199768066406,137.36538696289062,262.9647521972656,640.9334106445312,542.7367553710938,464.1545715332031,403.85400390625,2057.381591796875,1175.4066162109375,262.1243896484375,1145.0130615234375,3533.45947265625,1538.7030029296875,1044.449462890625,941.2476806640625,2080.63330078125,299.953125,3041.601806640625,934.9002685546875,222.43902587890625,1773.031494140625,4487.4716796875
2015-03-27,1014.4288940429688,2838.78271484375,1517.719482421875,505.8055114746094,712.8975830078125,252.20748901367188,538.9835815429688,4670.6015625,527.8849487304688,971.477294921875,243.51707458496094,3527.365234375,113.94115447998047,288.6221618652344,1678.2451171875,2761.5732421875,845.2332763671875,1821.6751708984375,440.76239013671875,1762.5032958984375,532.6561279296875,1191.68115234375,258.0993347167969,9.654943466186523,2976.5166015625,4054.2783203125,1889.36962890625,809.4099731445312,471.05072021484375,1122.976318359375,447.0677490234375,698.2469482421875,504.11004638671875,286.8155517578125,1571.0462646484375,700.2510375976562,574.988525390625,847.9972534179688,437.8974914550781,592.0260620117188,640.13330078125,712.82470703125,33.94089126586914,483.6457214355469,3078.614990234375,1292.0281982421875,518.5767211914062,2450.258544921875,19.492937088012695,356.3669738769531,1345.68896484375,278.65972900390625,78.68148803710938,163.5206298828125,2409.5595703125,501.7225646972656,1425.888427734375,123.8563461303711,956.0790405273438,367.7375793457031,7022.91943359375,57.70000076293945,1390.205078125,1655.8160400390625,1459.511962890625,1159.121826171875,2787.14306640625,6080.990234375,286.2751159667969,324.84869384765625,135.26895141601562,261.0750732421875,631.4520263671875,542.22900390625,460.76300048828125,403.85400390625,2023.0750732421875,1158.458251953125,262.1243896484375,1139.0283203125,3507.591796875,1538.7030029296875,1047.2979736328125,928.29931640625,2078.642333984375,300.2682800292969,3037.33984375,937.8855590820312,223.13418579101562,1710.17236328125,4491.7568359375
2015-03-30,1029.9757080078125,2848.760986328125,1529.6387939453125,506.30426025390625,737.32568359375,254.2051544189453,538.0045776367188,4710.96923828125,524.3992919921875,960.9990844726562,247.056396484375,3569.570556640625,115.18507385253906,288.4227600097656,1724.033447265625,2736.777587890625,840.7559814453125,1830.65380859375,443.24639892578125,1767.49072265625,522.7186279296875,1215.594482421875,255.81011962890625,9.753629684448242,2985.295654296875,4020.3759765625,1896.3487548828125,807.4139404296875,472.047607421875,1118.9832763671875,447.16754150390625,698.7457275390625,500.3795166015625,290.4984436035156,1586.0615234375,704.2467041015625,579.7596435546875,848.4962158203125,448.36871337890625,600.9961547851562,662.9486694335938,715.310302734375,34.32658386230469,488.52801513671875,3044.870849609375,1292.0281982421875,514.9020385742188,2474.201171875,19.081167221069336,363.3388671875,1341.444091796875,280.7430114746094,79.0198974609375,164.41583251953125,2472.469970703125,509.2958068847656,1423.69970703125,121.32063293457031,959.2244262695312,372.0246276855469,7072.72802734375,58.400001525878906,1401.76953125,1635.9501953125,1474.4556884765625,1178.07470703125,2794.08740234375,6124.57373046875,299.2558288574219,329.64862060546875,135.26895141601562,260.3787841796875,630.3143920898438,545.782958984375,467.84539794921875,401.9485778808594,2040.4766845703125,1125.55859375,265.8219909667969,1142.0203857421875,3514.8359375,1522.79931640625,1063.439453125,930.2911987304688,2075.65576171875,303.67108154296875,3075.6923828125,939.8757934570312,222.78663635253906,1708.1768798828125,4491.7568359375
2015-03-31,983.3351440429688,2811.84228515625,1519.7064208984375,508.2995910644531,730.3463745117188,251.4583282470703,528.703369140625,4611.298828125,521.4111328125,982.4544067382812,241.8719940185547,3464.30615234375,115.68263244628906,286.8276672363281,1727.02001953125,2726.446044921875,828.31884765625,1826.6632080078125,433.9064025878906,1728.59033203125,525.203125,1210.6126708984375,251.8285675048828,9.638493537902832,3000.63330078125,4011.401611328125,1853.975341796875,799.9286499023438,474.0415344238281,1114.99072265625,441.67779541015625,680.7906494140625,496.8978576660156,284.575927734375,1547.5235595703125,697.753662109375,570.51611328125,848.994873046875,442.3851318359375,600.9961547851562,656.429931640625,704.8713989257812,33.863739013671875,480.6566162109375,2940.662841796875,1271.09228515625,518.5767211914062,2492.15966796875,19.169118881225586,379.07562255859375,1329.770263671875,276.3780822753906,77.91507720947266,160.93446350097656,2455.493896484375,506.4558410644531,1420.4168701171875,121.32063293457031,937.857666015625,364.4149169921875,6998.015625,58.04999923706055,1381.1190185546875,1651.8428955078125,1445.5643310546875,1156.12939453125,2749.94091796875,6018.7265625,299.2558288574219,326.7342834472656,136.4669189453125,257.79296875,617.0405883789062,541.5523071289062,465.5511779785156,397.1849670410156,1996.7237548828125,1114.592041015625,267.02117919921875,1141.0233154296875,3528.28564453125,1489.00341796875,1038.2781982421875,930.7893676757812,2049.772216796875,304.8053894042969,2998.986572265625,928.4320678710938,218.9137725830078,1697.2012939453125,4496.04248046875
2015-04-01,987.7077026367188,2809.846923828125,1529.6387939453125,510.29486083984375,731.3433227539062,258.6999816894531,537.5149536132812,4625.25244140625,521.9091796875,986.9450073242188,248.5518798828125,3513.959716796875,116.42898559570312,288.6221618652344,1758.87255859375,2713.015380859375,833.293701171875,1835.641845703125,439.27197265625,1726.5950927734375,517.7499389648438,1217.58740234375,253.62020874023438,9.638493537902832,3020.413330078125,4078.208740234375,1862.948486328125,795.4375610351562,476.0353698730469,1118.9832763671875,442.1768493652344,698.2469482421875,494.4109191894531,282.7843322753906,1567.0421142578125,697.753662109375,575.0882568359375,870.4442749023438,447.47119140625,598.0061645507812,659.0374145507812,702.883056640625,33.966590881347656,475.6746520996094,3022.0439453125,1264.1138916015625,525.007080078125,2507.124755859375,19.388994216918945,366.5260314941406,1331.892822265625,278.262939453125,79.0198974609375,165.11207580566406,2443.5107421875,502.1959228515625,1421.5113525390625,120.57742309570312,952.8252563476562,370.2027282714844,6973.11279296875,57.349998474121094,1383.5970458984375,1635.9501953125,1437.59423828125,1149.146728515625,2740.021240234375,6023.916015625,302.3512268066406,325.7057800292969,136.36705017089844,256.6989440917969,622.7293701171875,542.9061279296875,467.6459655761719,397.8519287109375,2019.5946044921875,1113.5953369140625,264.5228576660156,1129.05419921875,3528.28564453125,1493.9732666015625,1027.3587646484375,939.7535400390625,2074.660400390625,306.56964111328125,2996.85595703125,934.9002685546875,218.51663208007812,1691.21484375,4478.89794921875
