Date,ABG.JO,AGL.JO,ANG.JO,APN.JO,BTI.JO,BVT.JO,CLS.JO,CPI.JO,DSY.JO,EXX.JO,FSR.JO,GFI.JO,GLN.JO,GRT.JO,IMP.JO,INL.JO,INP.JO,MNP.JO,MRP.JO,MTN.JO,NED.JO,NPN.JO,NRP.JO,REM.JO,RMH.JO,SBK.JO,SHP.JO,SLM.JO,SOL.JO,VOD.JO,WHL.JO
2015-01-01,18063.697265625,20986.673828125,10160.7578125,40544.1953125,62857.53125,8194.291015625,8079.853515625,33934.54296875,10832.15625,10222.4052734375,5027.4228515625,5216.88916015625,5383.7919921875,2721.522216796875,7555.81005859375,5576.958984375,5126.68603515625,20753.193359375,23407.548828125,22027.142578125,24723.55078125,19031.970703125,10891.025390625,17814.6328125,92.60486602783203,14255.064453125,16774.005859375,6960.45751953125,42979.67578125,12761.455078125,7678.58154296875
2015-01-02,17854.279296875,20827.80859375,9832.0576171875,40574.1484375,62361.24609375,8124.9873046875,8055.91259765625,33884.6484375,10637.68359375,10384.3798828125,4972.74609375,5205.9189453125,5334.83056640625,2685.8828125,7463.08349609375,5582.677734375,5120.35595703125,20666.6796875,23117.689453125,21588.412109375,24266.810546875,19209.0859375,10910.12890625,17464.640625,91.19429779052734,14133.8505859375,16824.857421875,6892.84130859375,42978.67578125,12550.8017578125,7593.92822265625
2015-01-05,17244.87109375,19736.2265625,10264.6611328125,40294.53515625,61015.56640625,7757.98681640625,7841.44677734375,32395.513671875,10418.9013671875,10041.6591796875,4744.09033203125,5539.01806640625,5077.03125,2594.8017578125,7139.0341796875,5435.10302734375,4992.14892578125,19843.125,22112.66015625,20526.896484375,23328.509765625,19003.955078125,10986.55859375,16784.98828125,86.71812438964844,13438.388671875,16131.9208984375,6517.97119140625,40387.98828125,12085.775390625,7310.09033203125
2015-01-06,17694.482421875,20134.84375,10962.02734375,40596.1171875,60669.45703125,7884.72607421875,8031.97265625,32329.638671875,10793.26171875,10267.837890625,4839.52978515625,6023.70751953125,5066.04150390625,2692.812744140625,7228.771484375,5496.87890625,5023.27783203125,20062.15234375,22581.810546875,21135.748046875,24302.5546875,19960.384765625,10977.00390625,17014.34375,89.32325744628906,13968.9287109375,16829.845703125,6622.3779296875,39937.265625,12266.615234375,7589.9443359375
2015-01-07,18063.697265625,20034.462890625,11093.908203125,40753.8984375,60627.66796875,7991.23974609375,8140.7001953125,32936.45703125,10784.5107421875,10193.759765625,4935.96240234375,6054.623046875,5072.0361328125,2713.60302734375,7318.5078125,5505.4599609375,5016.41845703125,20028.203125,22905.52734375,20756.7109375,24442.55859375,20726.24609375,11105.9794921875,17457.623046875,90.96406555175781,14290.83203125,17247.59765625,6652.20751953125,40228.4453125,12669.044921875,7718.4189453125
2015-01-08,18530.173828125,20082.21875,11357.6689453125,43040.75390625,61126.95703125,8012.8115234375,8354.16796875,32936.45703125,11148.17578125,10369.56640625,5001.5751953125,6188.26171875,5072.0361328125,2747.2626953125,7527.892578125,5516.32763671875,5035.41259765625,20038.0625,23498.193359375,20742.78125,24905.255859375,21193.775390625,11033.37109375,18025.75390625,91.55418395996094,14505.4306640625,17942.525390625,6662.15185546875,38702.75390625,12764.435546875,7867.806640625
2015-01-09,18032.927734375,19767.408203125,11289.73046875,42094.0625,60660.49609375,7810.03076171875,8164.6416015625,32875.58203125,10835.0751953125,10502.9033203125,4870.3466796875,6144.38037109375,4995.0966796875,2730.43310546875,7428.185546875,5357.88427734375,4933.0576171875,19938.400390625,23357.744140625,20312.0078125,24259.859375,21044.55078125,11072.5400390625,17553.01171875,89.8557357788086,14190.482421875,17153.876953125,6457.31591796875,38890.21484375,12411.6884765625,7720.40966796875
2015-01-12,17666.693359375,19257.6875,11928.150390625,41124.390625,60616.74609375,7773.35693359375,8079.853515625,32595.125,10696.025390625,10447.5927734375,4792.8046875,6726.806640625,4866.19775390625,2724.492431640625,7363.37646484375,5357.31298828125,4897.70849609375,20222.044921875,23461.33984375,19885.21484375,23631.34765625,20256.07421875,11082.09375,17220.552734375,88.08546447753906,14083.18359375,17168.833984375,6353.9033203125,38072.51953125,12574.6513671875,7569.03076171875
2015-01-13,18336.634765625,19472.099609375,12458.6669921875,42247.84765625,62245.8671875,7948.9033203125,8450.9287109375,33059.2265625,11114.1455078125,10667.845703125,4933.9736328125,6700.875,4716.314453125,2747.2626953125,7650.53173828125,5491.732421875,5025.38720703125,20770.720703125,24513.181640625,20240.376953125,24532.9140625,20914.6640625,11034.328125,17972.44140625,91.4677505493164,14505.4306640625,17414.107421875,6496.0947265625,38291.91796875,12882.68359375,7654.6796875
2015-01-14,17981.3125,17759.67578125,11997.0859375,41842.40234375,60994.671875,7712.146484375,8568.634765625,32138.0078125,11048.0234375,10319.1962890625,4814.6748046875,6350.82275390625,4268.66357421875,2730.43310546875,7022.376953125,5386.484375,4923.033203125,20151.95703125,24011.166015625,19710.12109375,23892.48828125,20267.505859375,10981.7822265625,17545.99609375,88.6611557006836,13919.251953125,17249.591796875,6359.869140625,36407.2265625,12708.791015625,7534.1728515625
2015-01-15,18034.9140625,18057.912109375,12688.4599609375,41742.53515625,61827.140625,7896.859375,8312.2744140625,32836.65625,11182.208984375,10123.634765625,4863.3896484375,6553.2744140625,4245.68212890625,2736.37255859375,7313.5224609375,5457.982421875,4993.73193359375,20479.40625,24562.982421875,20742.78125,24004.685546875,20005.47265625,11010.44140625,18376.443359375,89.1937255859375,13852.685546875,17378.2109375,6362.85205078125,36797.125,12818.0947265625,7793.1142578125
2015-01-16,17939.62890625,18638.791015625,12867.2958984375,41492.8828125,62494.50390625,7856.1416015625,8269.3779296875,32537.2421875,11340.70703125,10321.1689453125,4796.78076171875,6615.107421875,4389.5703125,2715.583251953125,7364.3720703125,5344.15673828125,4919.34130859375,20346.890625,23905.576171875,19959.828125,23543.96875,19595.72265625,10962.6748046875,18253.701171875,87.9127197265625,13933.1630859375,17174.814453125,6307.16796875,38267.96875,12788.2841796875,7947.48193359375
2015-01-19,17982.30859375,18741.12890625,12906.259765625,41655.66015625,63130.04296875,7933.26416015625,8280.71875,32936.45703125,11447.6630859375,10145.3642578125,4746.07861328125,6674.94677734375,4376.57958984375,2780.923095703125,7546.83740234375,5480.2919921875,5049.13037109375,20761.953125,24045.033203125,20307.033203125,23780.2890625,19872.072265625,10962.6748046875,18302.80078125,88.01348114013672,13983.8310546875,17497.84765625,6383.73388671875,39488.5234375,12862.806640625,7947.48193359375
2015-01-20,17938.640625,19248.908203125,13427.78515625,41584.75,63408.51953125,7999.5986328125,8380.486328125,33035.2890625,11205.5458984375,10550.310546875,4805.72705078125,6691.8994140625,4523.46435546875,2781.91357421875,7612.6435546875,5462.55908203125,5030.13623046875,20897.7578125,24034.076171875,20090.15625,24152.623046875,19877.599609375,11177.630859375,18313.318359375,88.37325286865234,14103.0556640625,17395.16015625,6381.74560546875,38368.6953125,12768.408203125,8067.9892578125
2015-01-21,18073.625,18819.095703125,13373.8349609375,42077.08203125,63456.2578125,8224.490234375,8604.9638671875,33026.296875,11269.72265625,10592.78125,4748.068359375,6508.39599609375,4409.55322265625,2852.203857421875,7807.072265625,5462.55908203125,5023.8046875,21105.837890625,24810.0078125,20145.869140625,24193.3359375,20500.13671875,11082.09375,18236.87109375,87.7975845336914,14182.537109375,17747.111328125,6512.00537109375,38857.3125,13145.005859375,8459.3857421875
2015-01-22,18450.77734375,19346.373046875,13028.15234375,42241.8515625,63733.76171875,8184.0419921875,8566.0546875,34433.5859375,11060.6640625,10574.013671875,4821.63525390625,6511.3876953125,4612.3955078125,2881.904052734375,8024.43359375,5498.0234375,5066.5400390625,21455.19140625,25614.830078125,20166.7578125,24539.865234375,20550.51171875,11082.09375,18314.724609375,88.9345932006836,14460.7216796875,18067.154296875,6622.3779296875,39899.3671875,12985.0263671875,8515.158203125
2015-01-23,18721.73046875,18578.3671875,12745.4052734375,43359.3203125,64175.34375,8348.2626953125,8575.033203125,35511.50390625,11114.1455078125,10352.7744140625,4874.32421875,6288.98876953125,4281.65380859375,2913.583251953125,7890.826171875,5562.08642578125,5098.197265625,21519.806640625,25637.740234375,20300.0703125,24574.615234375,20713.685546875,11177.630859375,18532.85546875,90.41706848144531,14406.0771484375,18023.28515625,6762.58203125,40124.734375,13285.107421875,8422.5361328125
2015-01-26,18978.791015625,18503.31640625,12258.849609375,44239.109375,64386.203125,8475.5400390625,8599.97265625,36529.53515625,11171.513671875,10074.2548828125,4945.9033203125,6019.7177734375,4272.65966796875,3009.614013671875,7627.599609375,5599.83837890625,5159.3984375,22193.326171875,25894.724609375,20768.650390625,24697.73828125,21404.560546875,11177.630859375,18803.59375,91.65486145019531,14654.4599609375,18395.177734375,6723.8017578125,41413.09765625,13463.966796875,8422.5361328125
2015-01-27,19553.451171875,18558.87109375,12929.240234375,43241.48046875,65526.9921875,8460.708984375,8698.7451171875,37150.33203125,11240.552734375,10294.5029296875,5098.0087890625,6495.431640625,4446.525390625,2969.02392578125,7666.4853515625,5614.138671875,5184.7216796875,22537.20703125,25743.3203125,20644.291015625,25276.603515625,21172.1796875,11201.513671875,18927.0390625,92.86387634277344,14906.8125,18182.8125,6898.80810546875,41539.734375,13564.3251953125,8453.4140625
2015-01-28,19800.587890625,18938.98046875,13217.9765625,43440.203125,65812.4296875,8612.2548828125,9167.6552734375,37926.83203125,11337.7890625,10262.8994140625,5212.3349609375,6571.2255859375,4472.50390625,2970.01416015625,7544.84326171875,5719.95654296875,5273.36083984375,22560.203125,26652.73046875,21049.197265625,25572.49609375,21309.84375,11129.861328125,19077.8359375,94.44712829589844,15215.80078125,18401.1640625,6950.51416015625,41498.85546875,13573.267578125,8564.955078125
